REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,DEMAGRDSL,SEA1D,2020,1
REGION1,DEMAGRDSL,SEA1N,2020,1
REGION1,DEMAGRDSL,SEA2D,2020,1
REGION1,DEMAGRDSL,SEA2N,2020,1
REGION1,DEMAGRDSL,SEA3D,2020,1
REGION1,DEMAGRDSL,SEA3N,2020,1
REGION1,DEMAGRDSL,SEA4D,2020,1
REGION1,DEMAGRDSL,SEA4N,2020,1
REGION1,DEMAGRDSL,SEA1D,2021,1
REGION1,DEMAGRDSL,SEA1N,2021,1
REGION1,DEMAGRDSL,SEA2D,2021,1
REGION1,DEMAGRDSL,SEA2N,2021,1
REGION1,DEMAGRDSL,SEA3D,2021,1
REGION1,DEMAGRDSL,SEA3N,2021,1
REGION1,DEMAGRDSL,SEA4D,2021,1
REGION1,DEMAGRDSL,SEA4N,2021,1
REGION1,DEMAGRDSL,SEA1D,2022,1
REGION1,DEMAGRDSL,SEA1N,2022,1
REGION1,DEMAGRDSL,SEA2D,2022,1
REGION1,DEMAGRDSL,SEA2N,2022,1
REGION1,DEMAGRDSL,SEA3D,2022,1
REGION1,DEMAGRDSL,SEA3N,2022,1
REGION1,DEMAGRDSL,SEA4D,2022,1
REGION1,DEMAGRDSL,SEA4N,2022,1
REGION1,DEMAGRDSL,SEA1D,2023,1
REGION1,DEMAGRDSL,SEA1N,2023,1
REGION1,DEMAGRDSL,SEA2D,2023,1
REGION1,DEMAGRDSL,SEA2N,2023,1
REGION1,DEMAGRDSL,SEA3D,2023,1
REGION1,DEMAGRDSL,SEA3N,2023,1
REGION1,DEMAGRDSL,SEA4D,2023,1
REGION1,DEMAGRDSL,SEA4N,2023,1
REGION1,DEMAGRDSL,SEA1D,2024,1
REGION1,DEMAGRDSL,SEA1N,2024,1
REGION1,DEMAGRDSL,SEA2D,2024,1
REGION1,DEMAGRDSL,SEA2N,2024,1
REGION1,DEMAGRDSL,SEA3D,2024,1
REGION1,DEMAGRDSL,SEA3N,2024,1
REGION1,DEMAGRDSL,SEA4D,2024,1
REGION1,DEMAGRDSL,SEA4N,2024,1
REGION1,DEMAGRDSL,SEA1D,2025,1
REGION1,DEMAGRDSL,SEA1N,2025,1
REGION1,DEMAGRDSL,SEA2D,2025,1
REGION1,DEMAGRDSL,SEA2N,2025,1
REGION1,DEMAGRDSL,SEA3D,2025,1
REGION1,DEMAGRDSL,SEA3N,2025,1
REGION1,DEMAGRDSL,SEA4D,2025,1
REGION1,DEMAGRDSL,SEA4N,2025,1
REGION1,DEMAGRDSL,SEA1D,2026,1
REGION1,DEMAGRDSL,SEA1N,2026,1
REGION1,DEMAGRDSL,SEA2D,2026,1
REGION1,DEMAGRDSL,SEA2N,2026,1
REGION1,DEMAGRDSL,SEA3D,2026,1
REGION1,DEMAGRDSL,SEA3N,2026,1
