REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMINDDSL,INDDSL,1,2020,1
REGION1,DEMINDDSL,INDDSL,1,2021,1
REGION1,DEMINDDSL,INDDSL,1,2022,1
REGION1,DEMINDDSL,INDDSL,1,2023,1
REGION1,DEMINDDSL,INDDSL,1,2024,1
REGION1,DEMINDDSL,INDDSL,1,2025,1
REGION1,DEMINDDSL,INDDSL,1,2026,1
REGION1,DEMINDDSL,INDDSL,1,2027,1
REGION1,DEMINDDSL,INDDSL,1,2028,1
REGION1,DEMINDDSL,INDDSL,1,2029,1
REGION1,DEMINDDSL,INDDSL,1,2030,1
REGION1,DEMINDDSL,INDDSL,1,2031,1
REGION1,DEMINDDSL,INDDSL,1,2032,1
REGION1,DEMINDDSL,INDDSL,1,2033,1
REGION1,DEMINDDSL,INDDSL,1,2034,1
REGION1,DEMINDDSL,INDDSL,1,2035,1
REGION1,DEMINDDSL,INDDSL,1,2036,1
REGION1,DEMINDDSL,INDDSL,1,2037,1
REGION1,DEMINDDSL,INDDSL,1,2038,1
REGION1,DEMINDDSL,INDDSL,1,2039,1
REGION1,DEMINDDSL,INDDSL,1,2040,1
REGION1,DEMINDDSL,INDDSL,1,2041,1
REGION1,DEMINDDSL,INDDSL,1,2042,1
REGION1,DEMINDDSL,INDDSL,1,2043,1
REGION1,DEMINDDSL,INDDSL,1,2044,1
REGION1,DEMINDDSL,INDDSL,1,2045,1
REGION1,DEMINDDSL,INDDSL,1,2046,1
REGION1,DEMINDDSL,INDDSL,1,2047,1
REGION1,DEMINDDSL,INDDSL,1,2048,1
REGION1,DEMINDDSL,INDDSL,1,2049,1
REGION1,DEMINDDSL,INDDSL,1,2050,1
REGION1,DEMINDBIO,INDBIO,1,2020,1
REGION1,DEMINDBIO,INDBIO,1,2021,1
REGION1,DEMINDBIO,INDBIO,1,2022,1
REGION1,DEMINDBIO,INDBIO,1,2023,1
REGION1,DEMINDBIO,INDBIO,1,2024,1
REGION1,DEMINDBIO,INDBIO,1,2025,1
REGION1,DEMINDBIO,INDBIO,1,2026,1
REGION1,DEMINDBIO,INDBIO,1,2027,1
REGION1,DEMINDBIO,INDBIO,1,2028,1
REGION1,DEMINDBIO,INDBIO,1,2029,1
REGION1,DEMINDBIO,INDBIO,1,2030,1
REGION1,DEMINDBIO,INDBIO,1,2031,1
REGION1,DEMINDBIO,INDBIO,1,2032,1
REGION1,DEMINDBIO,INDBIO,1,2033,1
REGION1,DEMINDBIO,INDBIO,1,2034,1
REGION1,DEMINDBIO,INDBIO,1,2035,1
REGION1,DEMINDBIO,INDBIO,1,2036,1
REGION1,DEMINDBIO,INDBIO,1,2037,1
REGION1,DEMINDBIO,INDBIO,1,2038,1
REGION1,DEMINDBIO,INDBIO,1,2039,1
REGION1,DEMINDBIO,INDBIO,1,2040,1
