REGION,YEAR,VALUE
REGION1,2020,1.13
REGION1,2021,1.138
REGION1,2022,1.123
REGION1,2023,1.138
REGION1,2024,1.141
REGION1,2025,1.141
REGION1,2026,1.14
REGION1,2027,1.139
REGION1,2028,1.123
REGION1,2029,1.137
REGION1,2030,1.135
REGION1,2031,1.135
REGION1,2032,1.135
REGION1,2033,1.135
REGION1,2034,1.135
REGION1,2035,1.135
REGION1,2036,1.135
REGION1,2037,1.135
REGION1,2038,1.135
REGION1,2039,1.135
REGION1,2040,1.135
REGION1,2041,1.134
REGION1,2042,1.134
REGION1,2043,1.134
REGION1,2044,1.134
REGION1,2045,1.134
REGION1,2046,1.134
REGION1,2047,1.134
REGION1,2048,1.134
REGION1,2049,1.134
REGION1,2050,1.134
