REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRBIOB01,2020,1.0
REGION1,PWRBIOB01,2021,1.0
REGION1,PWRBIOB01,2022,1.0
REGION1,PWRBIOB01,2023,1.0
REGION1,PWRBIOB01,2024,1.0
REGION1,PWRBIOB01,2025,1.0
REGION1,PWRBIOB01,2026,1.0
REGION1,PWRBIOB01,2027,1.0
REGION1,PWRBIOB01,2028,1.0
REGION1,PWRBIOB01,2029,1.0
REGION1,PWRBIOB01,2030,1.0
REGION1,PWRBIOB01,2031,1.0
REGION1,PWRBIOB01,2032,1.0
REGION1,PWRBIOB01,2033,1.0
REGION1,PWRBIOB01,2034,1.0
REGION1,PWRBIOB01,2035,1.0
REGION1,PWRBIOB01,2036,1.0
REGION1,PWRBIOB01,2037,1.0
REGION1,PWRBIOB01,2038,1.0
REGION1,PWRBIOB01,2039,1.0
REGION1,PWRBIOB01,2040,1.0
REGION1,PWRBIOB01,2041,1.0
REGION1,PWRBIOB01,2042,1.0
REGION1,PWRBIOB01,2043,1.0
REGION1,PWRBIOB01,2044,1.0
REGION1,PWRBIOB01,2045,1.0
REGION1,PWRBIOB01,2046,1.0
REGION1,PWRBIOB01,2047,1.0
REGION1,PWRBIOB01,2048,1.0
REGION1,PWRBIOB01,2049,1.0
REGION1,PWRBIOB01,2050,1.0
REGION1,PWRBIOB02,2020,1.0
REGION1,PWRBIOB02,2021,1.0
REGION1,PWRBIOB02,2022,1.0
REGION1,PWRBIOB02,2023,1.0
REGION1,PWRBIOB02,2024,1.0
REGION1,PWRBIOB02,2025,1.0
REGION1,PWRBIOB02,2026,1.0
REGION1,PWRBIOB02,2027,1.0
REGION1,PWRBIOB02,2028,1.0
REGION1,PWRBIOB02,2029,1.0
REGION1,PWRBIOB02,2030,1.0
REGION1,PWRBIOB02,2031,1.0
REGION1,PWRBIOB02,2032,1.0
REGION1,PWRBIOB02,2033,1.0
REGION1,PWRBIOB02,2034,1.0
REGION1,PWRBIOB02,2035,1.0
REGION1,PWRBIOB02,2036,1.0
REGION1,PWRBIOB02,2037,1.0
REGION1,PWRBIOB02,2038,1.0
REGION1,PWRBIOB02,2039,1.0
REGION1,PWRBIOB02,2040,1.0
REGION1,PWRBIOB02,2041,1.0
REGION1,PWRBIOB02,2042,1.0
REGION1,PWRBIOB02,2043,1.0
REGION1,PWRBIOB02,2044,1.0
REGION1,PWRBIOB02,2045,1.0
REGION1,PWRBIOB02,2046,1.0
REGION1,PWRBIOB02,2047,1.0
REGION1,PWRBIOB02,2048,1.0
REGION1,PWRBIOB02,2049,1.0
REGION1,PWRBIOB02,2050,1.0
REGION1,PWRBIOB03,2020,1.0
REGION1,PWRBIOB03,2021,1.0
REGION1,PWRBIOB03,2022,1.0
REGION1,PWRBIOB03,2023,1.0
REGION1,PWRBIOB03,2024,1.0
REGION1,PWRBIOB03,2025,1.0
REGION1,PWRBIOB03,2026,1.0
REGION1,PWRBIOB03,2027,1.0
REGION1,PWRBIOB03,2028,1.0
REGION1,PWRBIOB03,2029,1.0
REGION1,PWRBIOB03,2030,1.0
REGION1,PWRBIOB03,2031,1.0
REGION1,PWRBIOB03,2032,1.0
REGION1,PWRBIOB03,2033,1.0
REGION1,PWRBIOB03,2034,1.0
REGION1,PWRBIOB03,2035,1.0
REGION1,PWRBIOB03,2036,1.0
REGION1,PWRBIOB03,2037,1.0
REGION1,PWRBIOB03,2038,1.0
REGION1,PWRBIOB03,2039,1.0
REGION1,PWRBIOB03,2040,1.0
REGION1,PWRBIOB03,2041,1.0
REGION1,PWRBIOB03,2042,1.0
REGION1,PWRBIOB03,2043,1.0
REGION1,PWRBIOB03,2044,1.0
REGION1,PWRBIOB03,2045,1.0
REGION1,PWRBIOB03,2046,1.0
REGION1,PWRBIOB03,2047,1.0
REGION1,PWRBIOB03,2048,1.0
REGION1,PWRBIOB03,2049,1.0
REGION1,PWRBIOB03,2050,1.0
REGION1,PWRBIOB04,2020,1.0
REGION1,PWRBIOB04,2021,1.0
REGION1,PWRBIOB04,2022,1.0
REGION1,PWRBIOB04,2023,1.0
REGION1,PWRBIOB04,2024,1.0
REGION1,PWRBIOB04,2025,1.0
REGION1,PWRBIOB04,2026,1.0
REGION1,PWRBIOB04,2027,1.0
REGION1,PWRBIOB04,2028,1.0
REGION1,PWRBIOB04,2029,1.0
REGION1,PWRBIOB04,2030,1.0
REGION1,PWRBIOB04,2031,1.0
REGION1,PWRBIOB04,2032,1.0
REGION1,PWRBIOB04,2033,1.0
REGION1,PWRBIOB04,2034,1.0
REGION1,PWRBIOB04,2035,1.0
REGION1,PWRBIOB04,2036,1.0
REGION1,PWRBIOB04,2037,1.0
REGION1,PWRBIOB04,2038,1.0
REGION1,PWRBIOB04,2039,1.0
REGION1,PWRBIOB04,2040,1.0
REGION1,PWRBIOB04,2041,1.0
REGION1,PWRBIOB04,2042,1.0
REGION1,PWRBIOB04,2043,1.0
REGION1,PWRBIOB04,2044,1.0
REGION1,PWRBIOB04,2045,1.0
REGION1,PWRBIOB04,2046,1.0
REGION1,PWRBIOB04,2047,1.0
REGION1,PWRBIOB04,2048,1.0
REGION1,PWRBIOB04,2049,1.0
REGION1,PWRBIOB04,2050,1.0
REGION1,PWRBIOB05,2020,1.0
REGION1,PWRBIOB05,2021,1.0
REGION1,PWRBIOB05,2022,1.0
REGION1,PWRBIOB05,2023,1.0
REGION1,PWRBIOB05,2024,1.0
REGION1,PWRBIOB05,2025,1.0
REGION1,PWRBIOB05,2026,1.0
REGION1,PWRBIOB05,2027,1.0
REGION1,PWRBIOB05,2028,1.0
REGION1,PWRBIOB05,2029,1.0
REGION1,PWRBIOB05,2030,1.0
REGION1,PWRBIOB05,2031,1.0
REGION1,PWRBIOB05,2032,1.0
REGION1,PWRBIOB05,2033,1.0
REGION1,PWRBIOB05,2034,1.0
REGION1,PWRBIOB05,2035,1.0
REGION1,PWRBIOB05,2036,1.0
REGION1,PWRBIOB05,2037,1.0
REGION1,PWRBIOB05,2038,1.0
REGION1,PWRBIOB05,2039,1.0
REGION1,PWRBIOB05,2040,1.0
REGION1,PWRBIOB05,2041,1.0
