REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDALFHIBC1,2020,0.52
REGION1,LNDALFHIBC1,2021,0.48533
REGION1,LNDALFHIBC1,2022,0.45067
REGION1,LNDALFHIBC1,2023,0.416
REGION1,LNDALFHIBC1,2024,0.38133
REGION1,LNDALFHIBC1,2025,0.34667
REGION1,LNDALFHIBC1,2026,0.312
REGION1,LNDALFHIBC1,2027,0.27733
REGION1,LNDALFHIBC1,2028,0.24267
REGION1,LNDALFHIBC1,2029,0.208
REGION1,LNDALFHIBC1,2030,0.17333
REGION1,LNDALFHIBC1,2031,0.13867
REGION1,LNDALFHIBC1,2032,0.104
REGION1,LNDALFHIBC1,2033,0.06933
REGION1,LNDALFHIBC1,2034,0.03467
REGION1,LNDALFHRBC1,2020,2.57641
REGION1,LNDALFHRBC1,2021,2.40465
REGION1,LNDALFHRBC1,2022,2.23289
REGION1,LNDALFHRBC1,2023,2.06113
REGION1,LNDALFHRBC1,2024,1.88937
REGION1,LNDALFHRBC1,2025,1.71761
REGION1,LNDALFHRBC1,2026,1.54584
REGION1,LNDALFHRBC1,2027,1.37408
REGION1,LNDALFHRBC1,2028,1.20232
REGION1,LNDALFHRBC1,2029,1.03056
REGION1,LNDALFHRBC1,2030,0.8588
REGION1,LNDALFHRBC1,2031,0.68704
REGION1,LNDALFHRBC1,2032,0.51528
REGION1,LNDALFHRBC1,2033,0.34352
REGION1,LNDALFHRBC1,2034,0.17176
REGION1,LNDALFIIBC1,2020,0.13
REGION1,LNDALFIIBC1,2021,0.12133
REGION1,LNDALFIIBC1,2022,0.11267
REGION1,LNDALFIIBC1,2023,0.104
REGION1,LNDALFIIBC1,2024,0.09533
REGION1,LNDALFIIBC1,2025,0.08667
REGION1,LNDALFIIBC1,2026,0.078
REGION1,LNDALFIIBC1,2027,0.06933
REGION1,LNDALFIIBC1,2028,0.06067
REGION1,LNDALFIIBC1,2029,0.052
REGION1,LNDALFIIBC1,2030,0.04333
REGION1,LNDALFIIBC1,2031,0.03467
REGION1,LNDALFIIBC1,2032,0.026
REGION1,LNDALFIIBC1,2033,0.01733
REGION1,LNDALFIIBC1,2034,0.00867
REGION1,LNDALFIRBC1,2020,0.6441
REGION1,LNDALFIRBC1,2021,0.60116
REGION1,LNDALFIRBC1,2022,0.55822
REGION1,LNDALFIRBC1,2023,0.51528
REGION1,LNDALFIRBC1,2024,0.47234
REGION1,LNDALFIRBC1,2025,0.4294
REGION1,LNDALFIRBC1,2026,0.38646
REGION1,LNDALFIRBC1,2027,0.34352
REGION1,LNDALFIRBC1,2028,0.30058
REGION1,LNDALFIRBC1,2029,0.25764
REGION1,LNDALFIRBC1,2030,0.2147
REGION1,LNDALFIRBC1,2031,0.17176
REGION1,LNDALFIRBC1,2032,0.12882
REGION1,LNDALFIRBC1,2033,0.08588
REGION1,LNDALFIRBC1,2034,0.04294
REGION1,LNDBARHIBC1,2020,0.00185
REGION1,LNDBARHIBC1,2021,0.00173
REGION1,LNDBARHIBC1,2022,0.0016
REGION1,LNDBARHIBC1,2023,0.00148
REGION1,LNDBARHIBC1,2024,0.00136
REGION1,LNDBARHIBC1,2025,0.00123
REGION1,LNDBARHIBC1,2026,0.00111
REGION1,LNDBARHIBC1,2027,0.00099
REGION1,LNDBARHIBC1,2028,0.00086
REGION1,LNDBARHIBC1,2029,0.00074
REGION1,LNDBARHIBC1,2030,0.00062
REGION1,LNDBARHIBC1,2031,0.00049
REGION1,LNDBARHIBC1,2032,0.00037
REGION1,LNDBARHIBC1,2033,0.00025
REGION1,LNDBARHIBC1,2034,0.00012
REGION1,LNDBARHRBC1,2020,0.18333
REGION1,LNDBARHRBC1,2021,0.17111
REGION1,LNDBARHRBC1,2022,0.15889
REGION1,LNDBARHRBC1,2023,0.14667
REGION1,LNDBARHRBC1,2024,0.13444
REGION1,LNDBARHRBC1,2025,0.12222
REGION1,LNDBARHRBC1,2026,0.11
REGION1,LNDBARHRBC1,2027,0.09778
REGION1,LNDBARHRBC1,2028,0.08556
REGION1,LNDBARHRBC1,2029,0.07333
REGION1,LNDBARHRBC1,2030,0.06111
REGION1,LNDBARHRBC1,2031,0.04889
REGION1,LNDBARHRBC1,2032,0.03667
REGION1,LNDBARHRBC1,2033,0.02444
REGION1,LNDBARHRBC1,2034,0.01222
REGION1,LNDBARIIBC1,2020,0.00046
REGION1,LNDBARIIBC1,2021,0.00043
REGION1,LNDBARIIBC1,2022,0.0004
REGION1,LNDBARIIBC1,2023,0.00037
REGION1,LNDBARIIBC1,2024,0.00034
REGION1,LNDBARIIBC1,2025,0.00031
REGION1,LNDBARIIBC1,2026,0.00028
REGION1,LNDBARIIBC1,2027,0.00025
REGION1,LNDBARIIBC1,2028,0.00022
REGION1,LNDBARIIBC1,2029,0.00019
REGION1,LNDBARIIBC1,2030,0.00015
REGION1,LNDBARIIBC1,2031,0.00012
REGION1,LNDBARIIBC1,2032,9.00E-05
REGION1,LNDBARIIBC1,2033,6.00E-05
REGION1,LNDBARIIBC1,2034,3.00E-05
REGION1,LNDBARIRBC1,2020,0.04583
REGION1,LNDBARIRBC1,2021,0.04278
REGION1,LNDBARIRBC1,2022,0.03972
REGION1,LNDBARIRBC1,2023,0.03667
REGION1,LNDBARIRBC1,2024,0.03361
REGION1,LNDBARIRBC1,2025,0.03056
REGION1,LNDBARIRBC1,2026,0.0275
REGION1,LNDBARIRBC1,2027,0.02444
REGION1,LNDBARIRBC1,2028,0.02139
REGION1,LNDBARIRBC1,2029,0.01833
REGION1,LNDBARIRBC1,2030,0.01528
REGION1,LNDBARIRBC1,2031,0.01222
REGION1,LNDBARIRBC1,2032,0.00917
REGION1,LNDBARIRBC1,2033,0.00611
REGION1,LNDBARIRBC1,2034,0.00306
REGION1,LNDMAIHIBC1,2020,0.00143
REGION1,LNDMAIHIBC1,2021,0.00134
REGION1,LNDMAIHIBC1,2022,0.00124
REGION1,LNDMAIHIBC1,2023,0.00114
REGION1,LNDMAIHIBC1,2024,0.00105
REGION1,LNDMAIHIBC1,2025,0.00095
REGION1,LNDMAIHIBC1,2026,0.00086
REGION1,LNDMAIHIBC1,2027,0.00076
REGION1,LNDMAIHIBC1,2028,0.00067
REGION1,LNDMAIHIBC1,2029,0.00057
REGION1,LNDMAIHIBC1,2030,0.00048
REGION1,LNDMAIHIBC1,2031,0.00038
REGION1,LNDMAIHIBC1,2032,0.00029
REGION1,LNDMAIHIBC1,2033,0.00019
REGION1,LNDMAIHIBC1,2034,0.0001
REGION1,LNDMAIHRBC1,2020,0.14165
