REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,AGRDSL,SEA1D,2020,0
REGION1,AGRDSL,SEA1N,2020,0
REGION1,AGRDSL,SEA2D,2020,0
REGION1,AGRDSL,SEA2N,2020,0
REGION1,AGRDSL,SEA3D,2020,0
REGION1,AGRDSL,SEA3N,2020,0
REGION1,AGRDSL,SEA4D,2020,0
REGION1,AGRDSL,SEA4N,2020,0
REGION1,AGRELCB02,SEA1D,2020,0.15
REGION1,AGRELCB02,SEA1N,2020,0.08
REGION1,AGRELCB02,SEA2D,2020,0.16
REGION1,AGRELCB02,SEA2N,2020,0.07
REGION1,AGRELCB02,SEA3D,2020,0.12
REGION1,AGRELCB02,SEA3N,2020,0.13
REGION1,AGRELCB02,SEA4D,2020,0.13
REGION1,AGRELCB02,SEA4N,2020,0.16
REGION1,AGRNGS,SEA1D,2020,0
REGION1,AGRNGS,SEA1N,2020,0
REGION1,AGRNGS,SEA2D,2020,0
REGION1,AGRNGS,SEA2N,2020,0
REGION1,AGRNGS,SEA3D,2020,0
REGION1,AGRNGS,SEA3N,2020,0
REGION1,AGRNGS,SEA4D,2020,0
REGION1,AGRNGS,SEA4N,2020,0
REGION1,AGRWATBC1,SEA1D,2020,0
REGION1,AGRWATBC1,SEA1N,2020,0
REGION1,AGRWATBC1,SEA2D,2020,0
REGION1,AGRWATBC1,SEA2N,2020,0
REGION1,AGRWATBC1,SEA3D,2020,0
REGION1,AGRWATBC1,SEA3N,2020,0
REGION1,AGRWATBC1,SEA4D,2020,0
REGION1,AGRWATBC1,SEA4N,2020,0
REGION1,BIO,SEA1D,2020,0
REGION1,BIO,SEA1N,2020,0
REGION1,BIO,SEA2D,2020,0
REGION1,BIO,SEA2N,2020,0
REGION1,BIO,SEA3D,2020,0
REGION1,BIO,SEA3N,2020,0
REGION1,BIO,SEA4D,2020,0
REGION1,BIO,SEA4N,2020,0
REGION1,COA,SEA1D,2020,0
REGION1,COA,SEA1N,2020,0
REGION1,COA,SEA2D,2020,0
REGION1,COA,SEA2N,2020,0
REGION1,COA,SEA3D,2020,0
REGION1,COA,SEA3N,2020,0
REGION1,COA,SEA4D,2020,0
REGION1,COA,SEA4N,2020,0
REGION1,COMBIO,SEA1D,2020,0
REGION1,COMBIO,SEA1N,2020,0
REGION1,COMBIO,SEA2D,2020,0
REGION1,COMBIO,SEA2N,2020,0
REGION1,COMBIO,SEA3D,2020,0
REGION1,COMBIO,SEA3N,2020,0
REGION1,COMBIO,SEA4D,2020,0
REGION1,COMBIO,SEA4N,2020,0
REGION1,COMELCB02,SEA1D,2020,0.15
REGION1,COMELCB02,SEA1N,2020,0.08
REGION1,COMELCB02,SEA2D,2020,0.16
REGION1,COMELCB02,SEA2N,2020,0.07
REGION1,COMELCB02,SEA3D,2020,0.12
REGION1,COMELCB02,SEA3N,2020,0.13
REGION1,COMELCB02,SEA4D,2020,0.13
REGION1,COMELCB02,SEA4N,2020,0.16
REGION1,COMKER,SEA1D,2020,0
REGION1,COMKER,SEA1N,2020,0
REGION1,COMKER,SEA2D,2020,0
REGION1,COMKER,SEA2N,2020,0
REGION1,COMKER,SEA3D,2020,0
REGION1,COMKER,SEA3N,2020,0
REGION1,COMKER,SEA4D,2020,0
REGION1,COMKER,SEA4N,2020,0
REGION1,COMNGS,SEA1D,2020,0
REGION1,COMNGS,SEA1N,2020,0
REGION1,COMNGS,SEA2D,2020,0
REGION1,COMNGS,SEA2N,2020,0
REGION1,COMNGS,SEA3D,2020,0
REGION1,COMNGS,SEA3N,2020,0
REGION1,COMNGS,SEA4D,2020,0
REGION1,COMNGS,SEA4N,2020,0
REGION1,CRPALF,SEA1D,2020,0
REGION1,CRPALF,SEA1N,2020,0
