REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,LNDAGRBC1C01,51,2020,140.7533708
REGION1,LNDAGRBC1C01,53,2020,109.1288639
REGION1,LNDAGRBC1C01,54,2020,0.4193
REGION1,LNDAGRBC1C01,55,2020,27.31197873
REGION1,LNDAGRBC1C01,51,2021,140.7533708
REGION1,LNDAGRBC1C01,53,2021,109.1288639
REGION1,LNDAGRBC1C01,54,2021,0.4239
REGION1,LNDAGRBC1C01,55,2021,27.31197873
REGION1,LNDAGRBC1C01,51,2022,140.7533708
REGION1,LNDAGRBC1C01,53,2022,109.1288639
REGION1,LNDAGRBC1C01,54,2022,0.4286
REGION1,LNDAGRBC1C01,55,2022,27.31197873
REGION1,LNDAGRBC1C01,51,2023,140.7533708
REGION1,LNDAGRBC1C01,53,2023,109.1288639
REGION1,LNDAGRBC1C01,54,2023,0.4333
REGION1,LNDAGRBC1C01,55,2023,27.31197873
REGION1,LNDAGRBC1C01,51,2024,140.7533708
REGION1,LNDAGRBC1C01,53,2024,109.1288639
REGION1,LNDAGRBC1C01,54,2024,0.4381
REGION1,LNDAGRBC1C01,55,2024,27.31197873
REGION1,LNDAGRBC1C01,51,2025,140.7533708
REGION1,LNDAGRBC1C01,53,2025,109.1288639
REGION1,LNDAGRBC1C01,54,2025,0.4429
REGION1,LNDAGRBC1C01,55,2025,27.31197873
REGION1,LNDAGRBC1C01,51,2026,140.7533708
REGION1,LNDAGRBC1C01,53,2026,109.1288639
REGION1,LNDAGRBC1C01,54,2026,0.4478
REGION1,LNDAGRBC1C01,55,2026,27.31197873
REGION1,LNDAGRBC1C01,51,2027,140.7533708
REGION1,LNDAGRBC1C01,53,2027,109.1288639
REGION1,LNDAGRBC1C01,54,2027,0.4527
REGION1,LNDAGRBC1C01,55,2027,27.31197873
REGION1,LNDAGRBC1C01,51,2028,140.7533708
REGION1,LNDAGRBC1C01,53,2028,109.1288639
REGION1,LNDAGRBC1C01,54,2028,0.4577
REGION1,LNDAGRBC1C01,55,2028,27.31197873
REGION1,LNDAGRBC1C01,51,2029,140.7533708
REGION1,LNDAGRBC1C01,53,2029,109.1288639
REGION1,LNDAGRBC1C01,54,2029,0.4627
REGION1,LNDAGRBC1C01,55,2029,27.31197873
REGION1,LNDAGRBC1C01,51,2030,140.7533708
REGION1,LNDAGRBC1C01,53,2030,109.1288639
REGION1,LNDAGRBC1C01,54,2030,0.4678
REGION1,LNDAGRBC1C01,55,2030,27.31197873
REGION1,LNDAGRBC1C01,51,2031,140.7533708
REGION1,LNDAGRBC1C01,53,2031,109.1288639
REGION1,LNDAGRBC1C01,54,2031,0.4729
REGION1,LNDAGRBC1C01,55,2031,27.31197873
REGION1,LNDAGRBC1C01,51,2032,140.7533708
REGION1,LNDAGRBC1C01,53,2032,109.1288639
REGION1,LNDAGRBC1C01,54,2032,0.4782
REGION1,LNDAGRBC1C01,55,2032,27.31197873
REGION1,LNDAGRBC1C01,51,2033,140.7533708
REGION1,LNDAGRBC1C01,53,2033,109.1288639
REGION1,LNDAGRBC1C01,54,2033,0.4834
REGION1,LNDAGRBC1C01,55,2033,27.31197873
REGION1,LNDAGRBC1C01,51,2034,140.7533708
REGION1,LNDAGRBC1C01,53,2034,109.1288639
REGION1,LNDAGRBC1C01,54,2034,0.4887
REGION1,LNDAGRBC1C01,55,2034,27.31197873
REGION1,LNDAGRBC1C01,51,2035,140.7533708
REGION1,LNDAGRBC1C01,53,2035,109.1288639
REGION1,LNDAGRBC1C01,54,2035,0.4941
REGION1,LNDAGRBC1C01,55,2035,27.31197873
REGION1,LNDAGRBC1C01,51,2036,140.7533708
REGION1,LNDAGRBC1C01,53,2036,109.1288639
REGION1,LNDAGRBC1C01,54,2036,0.4995
REGION1,LNDAGRBC1C01,55,2036,27.31197873
REGION1,LNDAGRBC1C01,51,2037,140.7533708
REGION1,LNDAGRBC1C01,53,2037,109.1288639
REGION1,LNDAGRBC1C01,54,2037,0.505
REGION1,LNDAGRBC1C01,55,2037,27.31197873
REGION1,LNDAGRBC1C01,51,2038,140.7533708
REGION1,LNDAGRBC1C01,53,2038,109.1288639
REGION1,LNDAGRBC1C01,54,2038,0.5106
REGION1,LNDAGRBC1C01,55,2038,27.31197873
REGION1,LNDAGRBC1C01,51,2039,140.7533708
REGION1,LNDAGRBC1C01,53,2039,109.1288639
REGION1,LNDAGRBC1C01,54,2039,0.5162
REGION1,LNDAGRBC1C01,55,2039,27.31197873
REGION1,LNDAGRBC1C01,51,2040,140.7533708
REGION1,LNDAGRBC1C01,53,2040,109.1288639
REGION1,LNDAGRBC1C01,54,2040,0.5219
REGION1,LNDAGRBC1C01,55,2040,27.31197873
REGION1,LNDAGRBC1C01,51,2041,140.7533708
REGION1,LNDAGRBC1C01,53,2041,109.1288639
REGION1,LNDAGRBC1C01,54,2041,0.5276
REGION1,LNDAGRBC1C01,55,2041,27.31197873
REGION1,LNDAGRBC1C01,51,2042,140.7533708
REGION1,LNDAGRBC1C01,53,2042,109.1288639
REGION1,LNDAGRBC1C01,54,2042,0.5334
REGION1,LNDAGRBC1C01,55,2042,27.31197873
REGION1,LNDAGRBC1C01,51,2043,140.7533708
REGION1,LNDAGRBC1C01,53,2043,109.1288639
REGION1,LNDAGRBC1C01,54,2043,0.5393
REGION1,LNDAGRBC1C01,55,2043,27.31197873
REGION1,LNDAGRBC1C01,51,2044,140.7533708
REGION1,LNDAGRBC1C01,53,2044,109.1288639
REGION1,LNDAGRBC1C01,54,2044,0.5452
REGION1,LNDAGRBC1C01,55,2044,27.31197873
REGION1,LNDAGRBC1C01,51,2045,140.7533708
REGION1,LNDAGRBC1C01,53,2045,109.1288639
REGION1,LNDAGRBC1C01,54,2045,0.5512
REGION1,LNDAGRBC1C01,55,2045,27.31197873
REGION1,LNDAGRBC1C01,51,2046,140.7533708
