REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRDSL,2020,99999
REGION1,DEMAGRDSL,2021,99999
REGION1,DEMAGRDSL,2022,99999
REGION1,DEMAGRDSL,2023,99999
REGION1,DEMAGRDSL,2024,99999
REGION1,DEMAGRDSL,2025,99999
REGION1,DEMAGRDSL,2026,99999
REGION1,DEMAGRDSL,2027,99999
REGION1,DEMAGRDSL,2028,99999
REGION1,DEMAGRDSL,2029,99999
REGION1,DEMAGRDSL,2030,99999
REGION1,DEMAGRDSL,2031,99999
REGION1,DEMAGRDSL,2032,99999
REGION1,DEMAGRDSL,2033,99999
REGION1,DEMAGRDSL,2034,99999
REGION1,DEMAGRDSL,2035,99999
REGION1,DEMAGRDSL,2036,99999
REGION1,DEMAGRDSL,2037,99999
REGION1,DEMAGRDSL,2038,99999
REGION1,DEMAGRDSL,2039,99999
REGION1,DEMAGRDSL,2040,99999
REGION1,DEMAGRDSL,2041,99999
REGION1,DEMAGRDSL,2042,99999
REGION1,DEMAGRDSL,2043,99999
REGION1,DEMAGRDSL,2044,99999
REGION1,DEMAGRDSL,2045,99999
REGION1,DEMAGRDSL,2046,99999
REGION1,DEMAGRDSL,2047,99999
REGION1,DEMAGRDSL,2048,99999
REGION1,DEMAGRDSL,2049,99999
REGION1,DEMAGRDSL,2050,99999
REGION1,DEMAGRELCB02,2020,99999
REGION1,DEMAGRELCB02,2021,99999
REGION1,DEMAGRELCB02,2022,99999
REGION1,DEMAGRELCB02,2023,99999
REGION1,DEMAGRELCB02,2024,99999
REGION1,DEMAGRELCB02,2025,99999
REGION1,DEMAGRELCB02,2026,99999
REGION1,DEMAGRELCB02,2027,99999
REGION1,DEMAGRELCB02,2028,99999
REGION1,DEMAGRELCB02,2029,99999
REGION1,DEMAGRELCB02,2030,99999
REGION1,DEMAGRELCB02,2031,99999
REGION1,DEMAGRELCB02,2032,99999
REGION1,DEMAGRELCB02,2033,99999
REGION1,DEMAGRELCB02,2034,99999
REGION1,DEMAGRELCB02,2035,99999
REGION1,DEMAGRELCB02,2036,99999
REGION1,DEMAGRELCB02,2037,99999
REGION1,DEMAGRELCB02,2038,99999
REGION1,DEMAGRELCB02,2039,99999
REGION1,DEMAGRELCB02,2040,99999
REGION1,DEMAGRELCB02,2041,99999
REGION1,DEMAGRELCB02,2042,99999
REGION1,DEMAGRELCB02,2043,99999
REGION1,DEMAGRELCB02,2044,99999
REGION1,DEMAGRELCB02,2045,99999
REGION1,DEMAGRELCB02,2046,99999
REGION1,DEMAGRELCB02,2047,99999
REGION1,DEMAGRELCB02,2048,99999
REGION1,DEMAGRELCB02,2049,99999
REGION1,DEMAGRELCB02,2050,99999
REGION1,DEMAGRGWTBC1,2020,99999
REGION1,DEMAGRGWTBC1,2021,99999
REGION1,DEMAGRGWTBC1,2022,99999
REGION1,DEMAGRGWTBC1,2023,99999
REGION1,DEMAGRGWTBC1,2024,99999
REGION1,DEMAGRGWTBC1,2025,99999
REGION1,DEMAGRGWTBC1,2026,99999
REGION1,DEMAGRGWTBC1,2027,99999
REGION1,DEMAGRGWTBC1,2028,99999
REGION1,DEMAGRGWTBC1,2029,99999
REGION1,DEMAGRGWTBC1,2030,99999
REGION1,DEMAGRGWTBC1,2031,99999
REGION1,DEMAGRGWTBC1,2032,99999
REGION1,DEMAGRGWTBC1,2033,99999
REGION1,DEMAGRGWTBC1,2034,99999
REGION1,DEMAGRGWTBC1,2035,99999
REGION1,DEMAGRGWTBC1,2036,99999
REGION1,DEMAGRGWTBC1,2037,99999
REGION1,DEMAGRGWTBC1,2038,99999
REGION1,DEMAGRGWTBC1,2039,99999
REGION1,DEMAGRGWTBC1,2040,99999
REGION1,DEMAGRGWTBC1,2041,99999
REGION1,DEMAGRGWTBC1,2042,99999
REGION1,DEMAGRGWTBC1,2043,99999
REGION1,DEMAGRGWTBC1,2044,99999
REGION1,DEMAGRGWTBC1,2045,99999
REGION1,DEMAGRGWTBC1,2046,99999
REGION1,DEMAGRGWTBC1,2047,99999
REGION1,DEMAGRGWTBC1,2048,99999
REGION1,DEMAGRGWTBC1,2049,99999
REGION1,DEMAGRGWTBC1,2050,99999
REGION1,DEMAGRNGS,2020,99999
REGION1,DEMAGRNGS,2021,99999
REGION1,DEMAGRNGS,2022,99999
REGION1,DEMAGRNGS,2023,99999
REGION1,DEMAGRNGS,2024,99999
REGION1,DEMAGRNGS,2025,99999
REGION1,DEMAGRNGS,2026,99999
REGION1,DEMAGRNGS,2027,99999
REGION1,DEMAGRNGS,2028,99999
REGION1,DEMAGRNGS,2029,99999
REGION1,DEMAGRNGS,2030,99999
REGION1,DEMAGRNGS,2031,99999
REGION1,DEMAGRNGS,2032,99999
REGION1,DEMAGRNGS,2033,99999
REGION1,DEMAGRNGS,2034,99999
REGION1,DEMAGRNGS,2035,99999
REGION1,DEMAGRNGS,2036,99999
REGION1,DEMAGRNGS,2037,99999
REGION1,DEMAGRNGS,2038,99999
REGION1,DEMAGRNGS,2039,99999
REGION1,DEMAGRNGS,2040,99999
REGION1,DEMAGRNGS,2041,99999
REGION1,DEMAGRNGS,2042,99999
REGION1,DEMAGRNGS,2043,99999
REGION1,DEMAGRNGS,2044,99999
REGION1,DEMAGRNGS,2045,99999
REGION1,DEMAGRNGS,2046,99999
REGION1,DEMAGRNGS,2047,99999
REGION1,DEMAGRNGS,2048,99999
REGION1,DEMAGRNGS,2049,99999
REGION1,DEMAGRNGS,2050,99999
REGION1,DEMAGRSURBC1,2020,99999
REGION1,DEMAGRSURBC1,2021,99999
REGION1,DEMAGRSURBC1,2022,99999
REGION1,DEMAGRSURBC1,2023,99999
REGION1,DEMAGRSURBC1,2024,99999
REGION1,DEMAGRSURBC1,2025,99999
REGION1,DEMAGRSURBC1,2026,99999
REGION1,DEMAGRSURBC1,2027,99999
REGION1,DEMAGRSURBC1,2028,99999
REGION1,DEMAGRSURBC1,2029,99999
REGION1,DEMAGRSURBC1,2030,99999
REGION1,DEMAGRSURBC1,2031,99999
REGION1,DEMAGRSURBC1,2032,99999
REGION1,DEMAGRSURBC1,2033,99999
REGION1,DEMAGRSURBC1,2034,99999
REGION1,DEMAGRSURBC1,2035,99999
REGION1,DEMAGRSURBC1,2036,99999
REGION1,DEMAGRSURBC1,2037,99999
REGION1,DEMAGRSURBC1,2038,99999
REGION1,DEMAGRSURBC1,2039,99999
REGION1,DEMAGRSURBC1,2040,99999
REGION1,DEMAGRSURBC1,2041,99999
REGION1,DEMAGRSURBC1,2042,99999
REGION1,DEMAGRSURBC1,2043,99999
REGION1,DEMAGRSURBC1,2044,99999
REGION1,DEMAGRSURBC1,2045,99999
REGION1,DEMAGRSURBC1,2046,99999
REGION1,DEMAGRSURBC1,2047,99999
REGION1,DEMAGRSURBC1,2048,99999
REGION1,DEMAGRSURBC1,2049,99999
REGION1,DEMAGRSURBC1,2050,99999
REGION1,DEMCOMBIO,2020,99999
REGION1,DEMCOMBIO,2021,99999
REGION1,DEMCOMBIO,2022,99999
REGION1,DEMCOMBIO,2023,99999
REGION1,DEMCOMBIO,2024,99999
REGION1,DEMCOMBIO,2025,99999
REGION1,DEMCOMBIO,2026,99999
REGION1,DEMCOMBIO,2027,99999
REGION1,DEMCOMBIO,2028,99999
REGION1,DEMCOMBIO,2029,99999
REGION1,DEMCOMBIO,2030,99999
REGION1,DEMCOMBIO,2031,99999
REGION1,DEMCOMBIO,2032,99999
REGION1,DEMCOMBIO,2033,99999
REGION1,DEMCOMBIO,2034,99999
REGION1,DEMCOMBIO,2035,99999
REGION1,DEMCOMBIO,2036,99999
REGION1,DEMCOMBIO,2037,99999
REGION1,DEMCOMBIO,2038,99999
REGION1,DEMCOMBIO,2039,99999
REGION1,DEMCOMBIO,2040,99999
REGION1,DEMCOMBIO,2041,99999
