REGION,TECHNOLOGY,VALUE
REGION1,DEMAGRDSL,999999
REGION1,DEMAGRELCB02,999999
REGION1,DEMAGRGWTBC1,999999
REGION1,DEMAGRNGS,999999
REGION1,DEMAGRSURBC1,999999
REGION1,DEMCOMBIO,999999
REGION1,DEMCOMELCB02,999999
REGION1,DEMCOMKER,999999
REGION1,DEMCOMNGS,999999
REGION1,DEMINDBIO,999999
REGION1,DEMINDDSL,999999
REGION1,DEMINDELCB02,999999
REGION1,DEMINDNGS,999999
REGION1,DEMPUBGWTBC1,999999
REGION1,DEMPUBSURBC1,999999
REGION1,DEMPWRBIO,999999
REGION1,DEMPWRGEO,999999
REGION1,DEMPWRHYD,999999
REGION1,DEMPWRNGS,999999
REGION1,DEMPWRSOL,999999
REGION1,DEMPWRSURBC1,999999
REGION1,DEMPWRURN,999999
REGION1,DEMPWRWND,999999
REGION1,DEMRESBIO,999999
REGION1,DEMRESELCB02,999999
REGION1,DEMRESKER,999999
REGION1,DEMRESNGS,999999
REGION1,DEMTRABIO,999999
REGION1,DEMTRADSL,999999
REGION1,DEMTRAELCB02,999999
REGION1,DEMTRAGSL,999999
REGION1,DEMTRAHFO,999999
REGION1,DEMTRAJFL,999999
REGION1,DEMTRALPG,999999
REGION1,DEMTRANGS,999999
REGION1,EXPBIO,999999
REGION1,EXPCOA,999999
REGION1,EXPCRU,999999
REGION1,EXPNGS,999999
REGION1,IMPCOA,999999
REGION1,IMPCRU,999999
REGION1,IMPDSL,999999
REGION1,IMPGSL,999999
REGION1,IMPHFO,999999
REGION1,IMPJFL,999999
REGION1,IMPKER,999999
REGION1,IMPLPG,999999
REGION1,LNDAGRBC1C01,999999
REGION1,LNDAGRBC1C02,999999
REGION1,LNDAGRBC1C03,999999
REGION1,LNDAGRBC1C04,999999
REGION1,LNDAGRBC1C05,999999
REGION1,LNDAGRBC1C06,999999
REGION1,LNDAGRBC1C07,999999
REGION1,LNDALFHIBC1,999999
REGION1,LNDALFHRBC1,999999
REGION1,LNDALFIIBC1,999999
REGION1,LNDALFIRBC1,999999
REGION1,LNDALFLRBC1,999999
REGION1,LNDBARBC1,999999
REGION1,LNDBLTBC1,999999
REGION1,LNDBARHIBC1,999999
REGION1,LNDBARHRBC1,999999
REGION1,LNDBARIIBC1,999999
REGION1,LNDBARIRBC1,999999
REGION1,LNDBARLRBC1,999999
REGION1,LNDFORBC1,999999
REGION1,LNDGRSBC1,999999
REGION1,LNDMAIHIBC1,999999
REGION1,LNDMAIHRBC1,999999
REGION1,LNDMAIIIBC1,999999
REGION1,LNDMAIIRBC1,999999
REGION1,LNDMAILRBC1,999999
REGION1,LNDOATHIBC1,999999
REGION1,LNDOATHRBC1,999999
REGION1,LNDOATIIBC1,999999
REGION1,LNDOATIRBC1,999999
REGION1,LNDOATLRBC1,999999
REGION1,LNDOTHBC1,999999
REGION1,LNDOTHHIBC1,999999
REGION1,LNDOTHHRBC1,999999
REGION1,LNDOTHIIBC1,999999
REGION1,LNDOTHIRBC1,999999
REGION1,LNDOTHLRBC1,999999
REGION1,LNDPEAHIBC1,999999
REGION1,LNDPEAHRBC1,999999
REGION1,LNDPEAIIBC1,999999
REGION1,LNDPEAIRBC1,999999
REGION1,LNDPEALRBC1,999999
REGION1,LNDPTWHIBC1,999999
REGION1,LNDPTWHRBC1,999999
REGION1,LNDPTWIIBC1,999999
REGION1,LNDPTWIRBC1,999999
REGION1,LNDPTWLRBC1,999999
REGION1,LNDRAPHIBC1,999999
REGION1,LNDRAPHRBC1,999999
REGION1,LNDRAPIIBC1,999999
REGION1,LNDRAPIRBC1,999999
REGION1,LNDRAPLRBC1,999999
REGION1,LNDRYEHIBC1,999999
REGION1,LNDRYEHRBC1,999999
REGION1,LNDRYEIIBC1,999999
REGION1,LNDRYEIRBC1,999999
REGION1,LNDRYELRBC1,999999
REGION1,LNDWATBC1,999999
REGION1,LNDWHEHIBC1,999999
REGION1,LNDWHEHRBC1,999999
REGION1,LNDWHEIIBC1,999999
REGION1,LNDWHEIRBC1,999999
REGION1,LNDWHELRBC1,999999
REGION1,MINCOA,999999
REGION1,MINCRU,999999
REGION1,MINLNDBC1,999999
REGION1,MINNGS,999999
REGION1,MINPRCBC1,999999
REGION1,MINURN,999999
REGION1,PWRBIOB01,999999
REGION1,PWRBIOB02,999999
REGION1,PWRBIOB03,999999
REGION1,PWRBIOB04,999999
REGION1,PWRBIOB05,999999
REGION1,PWRBIOB06,999999
REGION1,PWRGEOB01,999999
REGION1,PWRGEOB02,999999
REGION1,PWRGEOB03,999999
REGION1,PWRHYDB01,999999
REGION1,PWRHYDB02,999999
REGION1,PWRHYDB03,999999
REGION1,PWRHYDB04,999999
REGION1,PWRHYDB05,999999
REGION1,PWRHYDB06,999999
REGION1,PWRHYDB07,999999
REGION1,PWRHYDB08,999999
REGION1,PWRHYDB09,999999
REGION1,PWRHYDB10,999999
REGION1,PWRHYDB11,999999
REGION1,PWRHYDB12,999999
REGION1,PWRHYDB13,999999
REGION1,PWRNGSB01,999999
REGION1,PWRSOLB01,999999
REGION1,PWRTRNB01,999999
REGION1,PWRURNB01,999999
REGION1,PWRWNDB01,999999
REGION1,PWRWNDB02,999999
REGION1,PWRWNDB03,999999
REGION1,PWRWNDB04,999999
REGION1,PWRWNDB05,999999
REGION1,PWRWNDB06,999999
REGION1,PWRWNDB07,999999
REGION1,PWRWNDB08,999999
REGION1,PWRWNDB09,999999
REGION1,PWRWNDB10,999999
REGION1,PWRWNDB11,999999
REGION1,RNWBIO,999999
REGION1,RNWGEO,999999
REGION1,RNWHYD,999999
REGION1,RNWSOL,999999
REGION1,RNWWND,999999
