REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2020,59.213258
REGION1,CO2,2021,58.845586
REGION1,CO2,2022,58.415872
REGION1,CO2,2023,58.179423
REGION1,CO2,2024,58.716326
REGION1,CO2,2025,59.824664
REGION1,CO2,2026,61.590362
REGION1,CO2,2027,62.138732
REGION1,CO2,2028,62.261878
REGION1,CO2,2029,62.302106
REGION1,CO2,2030,63.161948
REGION1,CO2,2031,64.404697
REGION1,CO2,2032,65.143487
REGION1,CO2,2033,64.907539
REGION1,CO2,2034,64.651365
REGION1,CO2,2035,64.448403
REGION1,CO2,2036,64.205909
REGION1,CO2,2037,63.954037
REGION1,CO2,2038,63.727024
REGION1,CO2,2039,63.525189
REGION1,CO2,2040,63.348571
REGION1,CO2,2041,64.652545
REGION1,CO2,2042,64.80572
REGION1,CO2,2043,64.958891
REGION1,CO2,2044,65.111991
REGION1,CO2,2045,65.265112
REGION1,CO2,2046,65.418161
REGION1,CO2,2047,65.571403
REGION1,CO2,2048,65.724385
REGION1,CO2,2049,65.877696
REGION1,CO2,2050,66.030798
