REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRNGSB01,2020,10.53
REGION1,PWRNGSB01,2021,10.53
REGION1,PWRNGSB01,2022,10.53
REGION1,PWRNGSB01,2023,10.53
REGION1,PWRNGSB01,2024,10.53
REGION1,PWRNGSB01,2025,10.53
REGION1,PWRNGSB01,2026,10.53
REGION1,PWRNGSB01,2027,10.53
REGION1,PWRNGSB01,2028,10.53
REGION1,PWRNGSB01,2029,10.53
REGION1,PWRNGSB01,2030,10.53
REGION1,PWRNGSB01,2031,10.53
REGION1,PWRNGSB01,2032,10.53
REGION1,PWRNGSB01,2033,10.53
REGION1,PWRNGSB01,2034,10.53
REGION1,PWRNGSB01,2039,2.1017146
REGION1,PWRNGSB01,2040,5.1061229
REGION1,PWRNGSB01,2041,7.4149682
REGION1,PWRNGSB01,2042,10.107559
REGION1,PWRNGSB01,2043,12.799026
REGION1,PWRNGSB01,2044,15.488244
REGION1,PWRNGSB01,2045,18.179711
REGION1,PWRNGSB01,2046,20.870054
REGION1,PWRNGSB01,2047,23.56152
REGION1,PWRNGSB01,2048,26.251863
REGION1,PWRNGSB01,2049,28.94333
REGION1,PWRNGSB01,2050,31.633672
REGION1,PWRWNDB01,2020,3.6875981
REGION1,PWRWNDB01,2021,3.6876
REGION1,PWRWNDB01,2022,3.6876
REGION1,PWRWNDB01,2023,3.6876
REGION1,PWRWNDB01,2024,3.6876
REGION1,PWRWNDB01,2025,3.6876
REGION1,PWRWNDB01,2026,3.6876
REGION1,PWRWNDB01,2027,3.6876
REGION1,PWRWNDB01,2028,3.6876
REGION1,PWRWNDB01,2029,3.6876
REGION1,PWRWNDB01,2030,3.6876
REGION1,PWRWNDB01,2031,3.6876
REGION1,PWRWNDB01,2032,3.6876
REGION1,PWRWNDB01,2033,3.6876
REGION1,PWRWNDB01,2034,3.6876
REGION1,PWRWNDB01,2035,3.6876
REGION1,PWRWNDB01,2036,3.6876
REGION1,PWRWNDB01,2049,-1.4791761e-06
REGION1,PWRWNDB01,2050,-1.4792599e-06
REGION1,PWRWNDB02,2020,3.514
REGION1,PWRWNDB02,2021,3.514
REGION1,PWRWNDB02,2022,3.514
REGION1,PWRWNDB02,2023,3.514
REGION1,PWRWNDB02,2024,3.514
REGION1,PWRWNDB02,2025,3.514
REGION1,PWRWNDB02,2026,3.514
REGION1,PWRWNDB02,2027,3.514
