REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRNGSB01,2037,-1.8101027e-08
REGION1,PWRNGSB01,2039,17.164908
REGION1,PWRNGSB01,2040,26.395226
REGION1,PWRNGSB01,2041,21.644162
REGION1,PWRNGSB01,2042,26.751866
REGION1,PWRNGSB01,2043,28.178473
REGION1,PWRNGSB01,2044,29.5231
REGION1,PWRNGSB01,2045,30.851891
REGION1,PWRNGSB01,2046,32.080493
REGION1,PWRNGSB01,2047,33.276761
REGION1,PWRNGSB01,2048,34.388927
REGION1,PWRNGSB01,2049,35.476189
REGION1,PWRNGSB01,2050,36.482745
REGION1,PWRWNDB01,2045,-1.7322349e-05
REGION1,PWRWNDB01,2046,1.7844841e-05
REGION1,PWRWNDB01,2049,-1.4981657e-05
REGION1,PWRWNDB02,2047,-1.5015874e-08
REGION1,PWRWNDB03,2029,3.5458234e-06
REGION1,PWRWNDB03,2047,-1.9776485e-05
REGION1,PWRWNDB03,2049,3.2250332e-06
REGION1,PWRWNDB04,2044,3.2594035e-06
REGION1,PWRWNDB04,2045,-2.5843596e-05
REGION1,PWRWNDB04,2046,1.600455e-06
REGION1,PWRWNDB04,2047,1.4222808e-05
REGION1,PWRWNDB04,2050,8.5683398e-06
REGION1,PWRWNDB05,2046,-1.9651563e-05
REGION1,PWRWNDB05,2047,-1.7509699e-06
REGION1,PWRWNDB05,2048,1.797656e-06
REGION1,PWRWNDB05,2050,-8.7289666e-06
REGION1,PWRWNDB06,2030,3.7897537e-07
REGION1,PWRWNDB06,2031,4.6429113e-08
REGION1,PWRWNDB06,2043,2.6676117e-07
REGION1,PWRWNDB06,2045,-4.4880445e-05
REGION1,PWRWNDB06,2046,8.0017765e-08
REGION1,PWRWNDB06,2047,3.6911774e-05
REGION1,PWRWNDB06,2049,9.255253e-06
REGION1,PWRWNDB07,2029,5.14561e-06
REGION1,PWRWNDB07,2030,7.8573575e-07
REGION1,PWRWNDB07,2037,2.3728972e-05
REGION1,PWRWNDB07,2045,-7.1790935e-05
REGION1,PWRWNDB07,2046,2.0238451e-06
REGION1,PWRWNDB07,2047,5.0778763e-06
REGION1,PWRWNDB08,2045,-1.9830546e-08
REGION1,PWRWNDB08,2050,-1.4848672e-06
REGION1,PWRGEOB01,2020,-2.9455135e-07
REGION1,PWRGEOB01,2022,-1.4401704e-07
REGION1,PWRGEOB01,2023,1.3364028e-07
REGION1,PWRGEOB01,2025,4.3257541e-07
REGION1,PWRGEOB01,2027,-1.0003758e-08
REGION1,PWRGEOB01,2028,1.040648e-08
REGION1,PWRGEOB01,2031,-1.0673324e-08
REGION1,PWRGEOB01,2032,-1.0896512e-07
REGION1,PWRGEOB01,2033,1.2314397e-07
REGION1,PWRGEOB01,2042,-8.7731245e-08
REGION1,PWRGEOB01,2044,-2.5832043e-07
REGION1,PWRGEOB01,2045,3.5250083e-07
REGION1,PWRGEOB02,2020,-7.038788e-07
REGION1,PWRGEOB02,2021,2.5345884e-07
REGION1,PWRGEOB02,2022,3.9935485e-07
REGION1,PWRGEOB02,2023,1.5948895e-07
REGION1,PWRGEOB02,2024,-1.2519677e-06
REGION1,PWRGEOB02,2025,1.2064005e-06
REGION1,PWRGEOB02,2027,1.250267e-07
REGION1,PWRGEOB02,2029,-7.5733765e-08
REGION1,PWRGEOB02,2035,-6.0927508e-07
REGION1,PWRGEOB02,2038,7.0195054e-07
REGION1,PWRGEOB02,2040,3.5796495e-08
REGION1,PWRGEOB02,2041,-7.5542872e-07
REGION1,PWRGEOB02,2042,7.6625757e-07
REGION1,PWRGEOB02,2044,-2.943432e-08
REGION1,PWRGEOB02,2049,2.9174919e-08
REGION1,PWRGEOB02,2050,-2.2786535e-08
REGION1,PWRGEOB03,2020,-2.6443273e-08
REGION1,PWRGEOB03,2021,-1.9824674e-07
REGION1,PWRGEOB03,2022,-1.0347102e-08
REGION1,PWRGEOB03,2024,2.8671686e-07
REGION1,PWRGEOB03,2035,-9.1481363e-07
REGION1,PWRGEOB03,2037,8.8852756e-07
REGION1,PWRGEOB03,2041,6.2820032e-08
REGION1,PWRGEOB03,2042,-8.8617526e-07
REGION1,PWRGEOB03,2044,8.4399151e-07
REGION1,PWRURNB01,2022,-1.8776532e-08
REGION1,PWRURNB01,2023,2.2828515e-08
REGION1,PWRURNB01,2029,2.1531868e-08
REGION1,PWRURNB01,2030,-1.4974261e-07
REGION1,PWRURNB01,2032,-2.7653873e-08
REGION1,PWRURNB01,2035,2.0708222e-07
REGION1,PWRURNB01,2036,-2.1138837e-08
REGION1,PWRURNB01,2038,-4.8827014e-07
REGION1,PWRURNB01,2040,7.8198261e-08
REGION1,PWRURNB01,2041,-1.2046356e-08
REGION1,PWRURNB01,2042,-4.0106309e-07
REGION1,PWRURNB01,2045,4.1963073e-07
REGION1,PWRURNB01,2046,-6.845806e-07
REGION1,PWRURNB01,2049,-7.0894446e-07
REGION1,PWRURNB01,2050,-5.459634e-08
REGION1,PWRWNDB09,2027,2.7078459
REGION1,PWRWNDB09,2028,3.7093896
REGION1,PWRWNDB09,2029,5.2549749
REGION1,PWRWNDB09,2030,12.858659
REGION1,PWRWNDB09,2031,17.395066
REGION1,PWRWNDB09,2032,20.203962
REGION1,PWRWNDB09,2033,14.024688
REGION1,PWRWNDB09,2034,8.9170988
REGION1,PWRWNDB09,2035,15.340518
REGION1,PWRWNDB09,2036,13.532752
REGION1,PWRWNDB09,2037,25.166454
REGION1,PWRWNDB09,2038,34.310399
REGION1,PWRWNDB09,2039,32.169249
REGION1,PWRWNDB09,2040,24.637704
REGION1,PWRWNDB09,2041,22.467288
REGION1,PWRWNDB09,2042,24.19685
REGION1,PWRWNDB09,2043,48.278471
REGION1,PWRWNDB09,2044,26.065962
REGION1,PWRWNDB09,2045,553.15288
REGION1,PWRWNDB09,2046,69.506828
REGION1,PWRWNDB09,2047,70.205987
REGION1,PWRWNDB09,2048,75.624179
REGION1,PWRWNDB09,2049,38.253024
REGION1,PWRWNDB09,2050,30.781663
REGION1,PWRWNDB10,2045,-2.3470791e-07
REGION1,PWRWNDB10,2049,-1.483624e-05
REGION1,PWRWNDB11,2046,-1.0616031e-06
REGION1,PWRWNDB11,2048,-1.4025554e-05
REGION1,PWRBIOB06,2024,-1.3962536e-07
REGION1,PWRBIOB06,2042,2.2848652e-07
REGION1,PWRHYDB13,2025,1102.3
REGION1,MINNGS,2020,0.87197379
REGION1,MINNGS,2024,0.0091538814
REGION1,MINNGS,2025,0.054040948
REGION1,MINNGS,2026,0.078870441
REGION1,MINNGS,2027,0.024337106
REGION1,MINNGS,2028,0.0090467698
REGION1,MINNGS,2029,0.0096034015
REGION1,MINNGS,2030,0.045687076
REGION1,MINNGS,2031,0.063389456
REGION1,MINNGS,2032,0.042048237
REGION1,MINNGS,2033,0.0010896501
REGION1,MINNGS,2034,0.0018236348
REGION1,MINNGS,2035,0.0039366679
REGION1,MINNGS,2036,0.0042260934
REGION1,MINNGS,2037,0.0019129891
REGION1,MINNGS,2038,0.0024692451
REGION1,MINNGS,2039,0.0030700553
REGION1,MINNGS,2040,0.003248214
REGION1,MINNGS,2041,0.065641944
REGION1,MINNGS,2042,0.017388679
REGION1,MINNGS,2043,0.017389532
REGION1,MINNGS,2044,0.017390344
REGION1,MINNGS,2045,0.017388892
REGION1,MINNGS,2046,0.017389629
REGION1,MINNGS,2047,0.017392556
REGION1,MINNGS,2048,0.017390998
REGION1,MINNGS,2049,0.01739386
REGION1,MINNGS,2050,0.017394466
REGION1,LNDALFHIBC1,2037,0.60401883
REGION1,LNDALFHIBC1,2038,1.2161233
REGION1,LNDALFHIBC1,2039,1.7271587
REGION1,LNDALFHIBC1,2040,2.2488975
REGION1,LNDALFHIBC1,2041,2.8317128
REGION1,LNDALFHIBC1,2042,3.3196275
REGION1,LNDALFHIBC1,2043,121.46816
REGION1,LNDALFHIBC1,2044,4.0991894
REGION1,LNDALFHIBC1,2045,4.6487037
REGION1,LNDALFHIBC1,2046,4.8970263
REGION1,LNDALFHIBC1,2047,5.2683455
REGION1,LNDALFHIBC1,2048,5.7968465
REGION1,LNDALFHIBC1,2049,6.1432115
REGION1,LNDALFHIBC1,2050,6.2768912
REGION1,LNDALFIIBC1,2037,-2.8894432e-06
REGION1,LNDALFIIBC1,2040,-3.0036595e-05
REGION1,LNDALFIIBC1,2042,-5.1315285e-06
REGION1,LNDALFIIBC1,2043,-1.085709e-06
REGION1,LNDALFIIBC1,2044,-2.4951984e-05
REGION1,LNDALFIIBC1,2045,-1.1058608e-06
REGION1,LNDALFIIBC1,2047,-4.7619773e-05
REGION1,LNDALFIIBC1,2050,0.00022183102
REGION1,LNDALFHRBC1,2037,7.3239284e-07
REGION1,LNDALFHRBC1,2038,-5.5560032e-06
REGION1,LNDALFHRBC1,2041,-4.2119501e-05
REGION1,LNDALFHRBC1,2045,-2.9650841e-05
REGION1,LNDALFHRBC1,2046,-5.5642362e-06
REGION1,LNDALFHRBC1,2047,-5.3252909e-05
REGION1,LNDALFHRBC1,2048,-4.8206971e-05
REGION1,LNDALFHRBC1,2050,0.00028399014
REGION1,LNDALFIRBC1,2037,-4.9236024e-07
REGION1,LNDALFIRBC1,2041,-4.2987365e-06
REGION1,LNDALFIRBC1,2044,-1.5820356e-05
REGION1,LNDALFIRBC1,2046,-3.0254977e-05
REGION1,LNDALFIRBC1,2047,-5.7861286e-05
REGION1,LNDALFIRBC1,2048,-2.0105631e-05
REGION1,LNDALFIRBC1,2049,-8.7978197e-06
REGION1,LNDALFIRBC1,2050,0.00017485318
REGION1,LNDALFLRBC1,2037,-3.3829056e-06
REGION1,LNDALFLRBC1,2038,-1.0843603e-06
REGION1,LNDALFLRBC1,2039,-1.6975552e-05
REGION1,LNDALFLRBC1,2040,-1.6418424e-05
REGION1,LNDALFLRBC1,2041,2.6638268e-07
REGION1,LNDALFLRBC1,2042,-1.9733332e-07
REGION1,LNDALFLRBC1,2044,-9.1330586e-06
REGION1,LNDALFLRBC1,2046,-1.4646559e-05
REGION1,LNDALFLRBC1,2047,-4.0700303e-07
REGION1,LNDALFLRBC1,2049,-4.660978e-05
REGION1,LNDALFLRBC1,2050,-3.5662715e-05
REGION1,LNDBARHIBC1,2038,-4.7460484e-05
REGION1,LNDBARHIBC1,2040,-3.2267232e-05
REGION1,LNDBARHIBC1,2042,-1.4577823e-06
REGION1,LNDBARHIBC1,2044,-8.0989328e-06
REGION1,LNDBARHIBC1,2045,-6.7605712e-07
REGION1,LNDBARHIBC1,2046,-4.8762269e-05
REGION1,LNDBARHIBC1,2050,0.00048808263
REGION1,LNDBARIIBC1,2037,-1.8444252e-05
REGION1,LNDBARIIBC1,2038,-4.704198e-05
REGION1,LNDBARIIBC1,2041,-2.9179961e-06
REGION1,LNDBARIIBC1,2042,7.8405375e-05
REGION1,LNDBARIIBC1,2043,-4.5178478e-05
REGION1,LNDBARIIBC1,2044,-7.8541035e-06
REGION1,LNDBARIIBC1,2045,-4.3629685e-05
REGION1,LNDBARIIBC1,2046,-5.83391e-05
REGION1,LNDBARIIBC1,2047,-7.7319508e-06
REGION1,LNDBARIIBC1,2049,0.00040621998
REGION1,LNDBARIIBC1,2050,0.00013164068
REGION1,LNDBARHRBC1,2037,0.0056952683
REGION1,LNDBARHRBC1,2038,0.011178315
REGION1,LNDBARHRBC1,2039,0.024402431
REGION1,LNDBARHRBC1,2040,0.02133963
REGION1,LNDBARHRBC1,2041,0.025961396
REGION1,LNDBARHRBC1,2042,0.030458766
REGION1,LNDBARHRBC1,2043,0.03509741
REGION1,LNDBARHRBC1,2044,0.25626927
REGION1,LNDBARHRBC1,2045,0.34798993
REGION1,LNDBARHRBC1,2046,0.35503309
