REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMINDDSL,2020,332.46267
REGION1,DEMINDDSL,2021,315.66773
REGION1,DEMINDDSL,2022,331.723
REGION1,DEMINDDSL,2023,409.06001
REGION1,DEMINDDSL,2024,481.18789
REGION1,DEMINDDSL,2025,548.35828
REGION1,DEMINDDSL,2026,611.97465
REGION1,DEMINDDSL,2027,669.45071
REGION1,DEMINDDSL,2028,718.21175
REGION1,DEMINDDSL,2029,757.43422
REGION1,DEMINDDSL,2030,791.81535
REGION1,DEMINDDSL,2031,755.93792
REGION1,DEMINDDSL,2032,722.97153
REGION1,DEMINDDSL,2033,689.34266
REGION1,DEMINDDSL,2034,656.86774
REGION1,DEMINDDSL,2035,626.31245
REGION1,DEMINDDSL,2036,597.65514
REGION1,DEMINDDSL,2037,571.01421
REGION1,DEMINDDSL,2038,546.27704
REGION1,DEMINDDSL,2039,523.28837
REGION1,DEMINDDSL,2040,501.7741
REGION1,DEMINDDSL,2041,476.36711
REGION1,DEMINDDSL,2042,454.86659
REGION1,DEMINDDSL,2043,434.33732
REGION1,DEMINDDSL,2044,414.72818
REGION1,DEMINDDSL,2045,396.00168
REGION1,DEMINDDSL,2046,378.12149
REGION1,DEMINDDSL,2047,361.04311
REGION1,DEMINDDSL,2048,344.73678
REGION1,DEMINDDSL,2049,329.16193
REGION1,DEMINDDSL,2050,314.28868
REGION1,DEMINDBIO,2020,491.9766
REGION1,DEMINDBIO,2021,470.45215
REGION1,DEMINDBIO,2022,499.16514
REGION1,DEMINDBIO,2023,620.73736
REGION1,DEMINDBIO,2024,731.24607
REGION1,DEMINDBIO,2025,824.46205
REGION1,DEMINDBIO,2026,907.94758
REGION1,DEMINDBIO,2027,982.02039
REGION1,DEMINDBIO,2028,1046.5822
REGION1,DEMINDBIO,2029,1099.4438
REGION1,DEMINDBIO,2030,1142.9308
REGION1,DEMINDBIO,2031,1081.7834
REGION1,DEMINDBIO,2032,1022.8979
REGION1,DEMINDBIO,2033,966.30531
REGION1,DEMINDBIO,2034,911.43393
REGION1,DEMINDBIO,2035,860.82618
REGION1,DEMINDBIO,2036,812.81186
REGION1,DEMINDBIO,2037,767.46902
REGION1,DEMINDBIO,2038,724.84271
REGION1,DEMINDBIO,2039,684.85746
REGION1,DEMINDBIO,2040,647.21177
REGION1,DEMINDBIO,2041,614.31626
REGION1,DEMINDBIO,2042,580.71598
REGION1,DEMINDBIO,2043,548.91894
REGION1,DEMINDBIO,2044,518.83337
REGION1,DEMINDBIO,2045,490.37182
REGION1,DEMINDBIO,2046,463.44112
REGION1,DEMINDBIO,2047,437.96641
REGION1,DEMINDBIO,2048,413.86402
REGION1,DEMINDBIO,2049,391.06679
REGION1,DEMINDBIO,2050,369.49957
REGION1,DEMINDNGS,2020,496.70446
REGION1,DEMINDNGS,2021,461.39702
REGION1,DEMINDNGS,2022,476.22932
REGION1,DEMINDNGS,2023,583.30544
REGION1,DEMINDNGS,2024,715.09877
REGION1,DEMINDNGS,2025,887.26385
REGION1,DEMINDNGS,2026,1108.5829
REGION1,DEMINDNGS,2027,1234.8252
REGION1,DEMINDNGS,2028,1323.845
REGION1,DEMINDNGS,2029,1405.4549
REGION1,DEMINDNGS,2030,1560.9957
REGION1,DEMINDNGS,2031,1612.3483
REGION1,DEMINDNGS,2032,1610.2433
REGION1,DEMINDNGS,2033,1528.2545
REGION1,DEMINDNGS,2034,1451.7715
REGION1,DEMINDNGS,2035,1383.2817
REGION1,DEMINDNGS,2036,1317.3347
REGION1,DEMINDNGS,2037,1253.3302
REGION1,DEMINDNGS,2038,1193.6131
REGION1,DEMINDNGS,2039,1137.633
REGION1,DEMINDNGS,2040,1084.4979
REGION1,DEMINDNGS,2041,1103.0511
REGION1,DEMINDNGS,2042,1066.1178
REGION1,DEMINDNGS,2043,1030.2006
REGION1,DEMINDNGS,2044,995.28671
REGION1,DEMINDNGS,2045,961.36185
REGION1,DEMINDNGS,2046,928.41104
REGION1,DEMINDNGS,2047,896.41845
REGION1,DEMINDNGS,2048,865.36753
REGION1,DEMINDNGS,2049,835.24114
REGION1,DEMINDNGS,2050,806.02165
REGION1,DEMRESKER,2020,2.6375651
REGION1,DEMRESKER,2021,2.5418712
REGION1,DEMRESKER,2022,2.7214556
REGION1,DEMRESKER,2023,3.4086005
REGION1,DEMRESKER,2024,3.9954292
REGION1,DEMRESKER,2025,4.5186401
REGION1,DEMRESKER,2026,5.040237
REGION1,DEMRESKER,2027,5.4548019
REGION1,DEMRESKER,2028,5.8184554
REGION1,DEMRESKER,2029,6.135106
REGION1,DEMRESKER,2030,6.4084057
REGION1,DEMRESKER,2031,6.1032435
REGION1,DEMRESKER,2032,5.8126128
REGION1,DEMRESKER,2033,5.5358218
REGION1,DEMRESKER,2034,5.2722112
REGION1,DEMRESKER,2035,5.0211535
REGION1,DEMRESKER,2036,4.782051
REGION1,DEMRESKER,2037,4.5025805
REGION1,DEMRESKER,2038,4.2881719
REGION1,DEMRESKER,2039,4.0839732
REGION1,DEMRESKER,2040,3.8447914
REGION1,DEMRESBIO,2020,39.901626
REGION1,DEMRESBIO,2021,38.733474
REGION1,DEMRESBIO,2022,41.669384
REGION1,DEMRESBIO,2023,52.626315
REGION1,DEMRESBIO,2024,62.945432
REGION1,DEMRESBIO,2025,72.510354
REGION1,DEMRESBIO,2026,81.363139
REGION1,DEMRESBIO,2027,89.32975
REGION1,DEMRESBIO,2028,96.709164
REGION1,DEMRESBIO,2029,103.33734
REGION1,DEMRESBIO,2030,109.01012
REGION1,DEMRESBIO,2031,104.83766
REGION1,DEMRESBIO,2032,100.81539
REGION1,DEMRESBIO,2033,96.692119
REGION1,DEMRESBIO,2034,92.791587
REGION1,DEMRESBIO,2035,88.875694
REGION1,DEMRESBIO,2036,84.909525
REGION1,DEMRESBIO,2037,81.018219
REGION1,DEMRESBIO,2038,77.208464
REGION1,DEMRESBIO,2039,73.439955
REGION1,DEMRESBIO,2040,69.855277
REGION1,DEMRESBIO,2041,66.303737
REGION1,DEMRESBIO,2042,63.479894
REGION1,DEMRESBIO,2043,60.778421
REGION1,DEMRESBIO,2044,58.190286
REGION1,DEMRESBIO,2045,55.707391
REGION1,DEMRESBIO,2046,53.332277
REGION1,DEMRESBIO,2047,51.053933
REGION1,DEMRESBIO,2048,48.874602
REGION1,DEMRESBIO,2049,46.787058
REGION1,DEMRESBIO,2050,44.784814
REGION1,DEMRESNGS,2020,181.04553
REGION1,DEMRESNGS,2021,175.22231
REGION1,DEMRESNGS,2022,188.22545
REGION1,DEMRESNGS,2023,237.23054
REGION1,DEMRESNGS,2024,283.17705
REGION1,DEMRESNGS,2025,325.44822
REGION1,DEMRESNGS,2026,363.96719
REGION1,DEMRESNGS,2027,398.56986
REGION1,DEMRESNGS,2028,430.16473
REGION1,DEMRESNGS,2029,457.98917
REGION1,DEMRESNGS,2030,481.92606
REGION1,DEMRESNGS,2031,462.53894
REGION1,DEMRESNGS,2032,443.81248
REGION1,DEMRESNGS,2033,424.8913
REGION1,DEMRESNGS,2034,407.01864
REGION1,DEMRESNGS,2035,389.20228
REGION1,DEMRESNGS,2036,371.58634
REGION1,DEMRESNGS,2037,354.40147
REGION1,DEMRESNGS,2038,337.55988
REGION1,DEMRESNGS,2039,321.28746
REGION1,DEMRESNGS,2040,305.61065
REGION1,DEMRESNGS,2041,298.05189
REGION1,DEMRESNGS,2042,285.82731
REGION1,DEMRESNGS,2043,274.08841
REGION1,DEMRESNGS,2044,262.82195
REGION1,DEMRESNGS,2045,252.00451
REGION1,DEMRESNGS,2046,241.62133
REGION1,DEMRESNGS,2047,231.65782
REGION1,DEMRESNGS,2048,222.0932
REGION1,DEMRESNGS,2049,212.91621
REGION1,DEMRESNGS,2050,204.10769
REGION1,DEMCOMKER,2020,33.189361
REGION1,DEMCOMKER,2021,32.296716
REGION1,DEMCOMKER,2022,34.809316
REGION1,DEMCOMKER,2023,43.763296
REGION1,DEMCOMKER,2024,52.032428
REGION1,DEMCOMKER,2025,59.625274
REGION1,DEMCOMKER,2026,66.725864
REGION1,DEMCOMKER,2027,73.329894
REGION1,DEMCOMKER,2028,79.54093
REGION1,DEMCOMKER,2029,85.26403
REGION1,DEMCOMKER,2030,90.373084
REGION1,DEMCOMKER,2031,87.179285
REGION1,DEMCOMKER,2032,84.084729
REGION1,DEMCOMKER,2033,80.961393
REGION1,DEMCOMKER,2034,78.004761
REGION1,DEMCOMKER,2035,75.089069
REGION1,DEMCOMKER,2036,72.219838
REGION1,DEMCOMKER,2037,69.35009
REGION1,DEMCOMKER,2038,66.589887
REGION1,DEMCOMKER,2039,63.84142
REGION1,DEMCOMKER,2040,61.248421
REGION1,DEMCOMKER,2041,60.443698
REGION1,DEMCOMKER,2042,58.327775
REGION1,DEMCOMKER,2043,56.28017
REGION1,DEMCOMKER,2044,54.291634
REGION1,DEMCOMKER,2045,52.364864
REGION1,DEMCOMKER,2046,50.498485
REGION1,DEMCOMKER,2047,48.691115
REGION1,DEMCOMKER,2048,46.941367
REGION1,DEMCOMKER,2049,45.247851
REGION1,DEMCOMKER,2050,43.611923
REGION1,DEMCOMBIO,2020,0.36889023
REGION1,DEMCOMBIO,2021,0.49770904
REGION1,DEMCOMBIO,2022,0.681581
REGION1,DEMCOMBIO,2023,0.99729168
REGION1,DEMCOMBIO,2024,1.3937917
REGION1,DEMCOMBIO,2025,1.7797071
REGION1,DEMCOMBIO,2026,2.2429535
REGION1,DEMCOMBIO,2027,2.7308687
REGION1,DEMCOMBIO,2028,3.1718535
REGION1,DEMCOMBIO,2029,3.6857439
REGION1,DEMCOMBIO,2030,4.1351124
REGION1,DEMCOMBIO,2031,4.2777024
REGION1,DEMCOMBIO,2032,4.3326691
REGION1,DEMCOMBIO,2033,4.3727009
REGION1,DEMCOMBIO,2034,4.3990955
REGION1,DEMCOMBIO,2035,4.4130609
REGION1,DEMCOMBIO,2036,4.4157209
REGION1,DEMCOMBIO,2037,4.3574527
REGION1,DEMCOMBIO,2038,4.3429761
REGION1,DEMCOMBIO,2039,4.27404
REGION1,DEMCOMBIO,2040,4.2455901
REGION1,DEMCOMBIO,2041,3.8141531
REGION1,DEMCOMBIO,2042,3.759566
REGION1,DEMCOMBIO,2043,3.6977478
REGION1,DEMCOMBIO,2044,3.633292
REGION1,DEMCOMBIO,2045,3.5700193
REGION1,DEMCOMBIO,2046,3.5012677
REGION1,DEMCOMBIO,2047,3.4340792
REGION1,DEMCOMBIO,2048,3.3623878
REGION1,DEMCOMBIO,2049,3.2925585
REGION1,DEMCOMBIO,2050,3.2190681
REGION1,DEMCOMNGS,2020,185.66223
REGION1,DEMCOMNGS,2021,176.92636
REGION1,DEMCOMNGS,2022,187.09009
REGION1,DEMCOMNGS,2023,231.82829
REGION1,DEMCOMNGS,2024,273.42012
REGION1,DEMCOMNGS,2025,312.9886
REGION1,DEMCOMNGS,2026,351.23458
REGION1,DEMCOMNGS,2027,386.1418
REGION1,DEMCOMNGS,2028,415.69877
REGION1,DEMCOMNGS,2029,443.47163
REGION1,DEMCOMNGS,2030,469.68195
REGION1,DEMCOMNGS,2031,454.87875
REGION1,DEMCOMNGS,2032,438.05049
REGION1,DEMCOMNGS,2033,420.33305
REGION1,DEMCOMNGS,2034,403.05678
REGION1,DEMCOMNGS,2035,386.71357
REGION1,DEMCOMNGS,2036,370.63061
REGION1,DEMCOMNGS,2037,354.76556
REGION1,DEMCOMNGS,2038,339.57103
REGION1,DEMCOMNGS,2039,325.01914
REGION1,DEMCOMNGS,2040,311.11459
REGION1,DEMCOMNGS,2041,306.23218
REGION1,DEMCOMNGS,2042,294.57658
REGION1,DEMCOMNGS,2043,283.33663
REGION1,DEMCOMNGS,2044,272.49658
REGION1,DEMCOMNGS,2045,262.04891
REGION1,DEMCOMNGS,2046,251.97599
REGION1,DEMCOMNGS,2047,242.27042
REGION1,DEMCOMNGS,2048,232.91569
REGION1,DEMCOMNGS,2049,223.90455
REGION1,DEMCOMNGS,2050,215.22345
REGION1,DEMAGRDSL,2020,45.611696
REGION1,DEMAGRDSL,2021,45.59418
REGION1,DEMAGRDSL,2022,50.252728
REGION1,DEMAGRDSL,2023,63.690203
REGION1,DEMAGRDSL,2024,78.878411
REGION1,DEMAGRDSL,2025,91.981207
REGION1,DEMAGRDSL,2026,104.92751
REGION1,DEMAGRDSL,2027,117.57595
REGION1,DEMAGRDSL,2028,129.96489
REGION1,DEMAGRDSL,2029,141.04652
REGION1,DEMAGRDSL,2030,152.13547
REGION1,DEMAGRDSL,2031,149.35952
REGION1,DEMAGRDSL,2032,146.41914
REGION1,DEMAGRDSL,2033,143.38941
REGION1,DEMAGRDSL,2034,140.45658
REGION1,DEMAGRDSL,2035,137.37209
REGION1,DEMAGRDSL,2036,134.28408
REGION1,DEMAGRDSL,2037,131.18877
REGION1,DEMAGRDSL,2038,128.09338
REGION1,DEMAGRDSL,2039,124.96781
REGION1,DEMAGRDSL,2040,121.87127
REGION1,DEMAGRDSL,2041,118.77796
REGION1,DEMAGRDSL,2042,115.70289
REGION1,DEMAGRDSL,2043,112.65135
REGION1,DEMAGRDSL,2044,109.63166
REGION1,DEMAGRDSL,2045,106.64069
REGION1,DEMAGRDSL,2046,103.68598
REGION1,DEMAGRDSL,2047,100.77396
REGION1,DEMAGRDSL,2048,97.901204
REGION1,DEMAGRDSL,2049,95.07353
REGION1,DEMAGRDSL,2050,92.29584
REGION1,DEMTRAGSL,2020,450.53547
REGION1,DEMTRAGSL,2021,421.56591
REGION1,DEMTRAGSL,2022,438.14859
REGION1,DEMTRAGSL,2023,532.07418
REGION1,DEMTRAGSL,2024,612.39251
REGION1,DEMTRAGSL,2025,680.60127
REGION1,DEMTRAGSL,2026,738.76544
REGION1,DEMTRAGSL,2027,787.54197
REGION1,DEMTRAGSL,2028,826.57835
REGION1,DEMTRAGSL,2029,855.92997
REGION1,DEMTRAGSL,2030,877.66232
REGION1,DEMTRAGSL,2031,819.28109
REGION1,DEMTRAGSL,2032,764.34639
REGION1,DEMTRAGSL,2033,710.61123
REGION1,DEMTRAGSL,2034,659.14103
REGION1,DEMTRAGSL,2035,610.16177
REGION1,DEMTRAGSL,2036,563.64177
REGION1,DEMTRAGSL,2037,519.7335
REGION1,DEMTRAGSL,2038,478.36048
REGION1,DEMTRAGSL,2039,439.52993
REGION1,DEMTRAGSL,2040,403.47988
REGION1,DEMTRAGSL,2041,380.1335
REGION1,DEMTRAGSL,2042,350.7422
REGION1,DEMTRAGSL,2043,323.2917
REGION1,DEMTRAGSL,2044,297.66021
REGION1,DEMTRAGSL,2045,273.73671
REGION1,DEMTRAGSL,2046,251.41669
