REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRNGSB01,2037,-8.2143174e-08
REGION1,PWRNGSB01,2038,4.4415856e-08
REGION1,PWRNGSB01,2039,77.895032
REGION1,PWRNGSB01,2040,119.78258
REGION1,PWRNGSB01,2041,98.222061
REGION1,PWRNGSB01,2042,121.40102
REGION1,PWRNGSB01,2043,127.87502
REGION1,PWRNGSB01,2044,133.97699
REGION1,PWRNGSB01,2045,140.0071
REGION1,PWRNGSB01,2046,145.58254
REGION1,PWRNGSB01,2047,151.01126
REGION1,PWRNGSB01,2048,156.05831
REGION1,PWRNGSB01,2049,160.99235
REGION1,PWRNGSB01,2050,165.56014
REGION1,PWRWNDB01,2044,-2.1859294e-08
REGION1,PWRWNDB01,2045,-7.8609504e-05
REGION1,PWRWNDB01,2046,8.0980594e-05
REGION1,PWRWNDB01,2049,-6.7987352e-05
REGION1,PWRWNDB02,2047,-6.8142629e-08
REGION1,PWRWNDB03,2029,1.6091086e-05
REGION1,PWRWNDB03,2041,-2.2359617e-08
REGION1,PWRWNDB03,2044,1.488977e-08
REGION1,PWRWNDB03,2047,-8.9746472e-05
REGION1,PWRWNDB03,2049,1.4635328e-05
REGION1,PWRWNDB04,2044,1.4791302e-05
REGION1,PWRWNDB04,2045,-0.00011727926
REGION1,PWRWNDB04,2046,7.2629282e-06
REGION1,PWRWNDB04,2047,6.4543667e-05
REGION1,PWRWNDB04,2050,3.8883465e-05
REGION1,PWRWNDB05,2046,-8.917957e-05
REGION1,PWRWNDB05,2047,-7.9459708e-06
REGION1,PWRWNDB05,2048,8.1578339e-06
REGION1,PWRWNDB05,2050,-3.9612395e-05
REGION1,PWRWNDB06,2030,1.7198052e-06
REGION1,PWRWNDB06,2031,2.1069715e-07
REGION1,PWRWNDB06,2043,1.2105727e-06
REGION1,PWRWNDB06,2045,-0.00020366923
REGION1,PWRWNDB06,2046,3.6312378e-07
REGION1,PWRWNDB06,2047,0.00016750709
REGION1,PWRWNDB06,2049,4.2000704e-05
REGION1,PWRWNDB07,2029,2.3350981e-05
REGION1,PWRWNDB07,2030,3.5656999e-06
REGION1,PWRWNDB07,2037,0.00010768301
REGION1,PWRWNDB07,2044,1.7566288e-08
REGION1,PWRWNDB07,2045,-0.0003257901
REGION1,PWRWNDB07,2046,9.1842889e-06
REGION1,PWRWNDB07,2047,2.3043603e-05
REGION1,PWRWNDB08,2044,-1.5218959e-08
REGION1,PWRWNDB08,2045,-8.9991801e-08
REGION1,PWRWNDB08,2047,3.2932097e-08
REGION1,PWRWNDB08,2050,-6.738386e-06
REGION1,PWRSOLB01,2041,-3.1385528e-08
REGION1,PWRSOLB01,2042,1.2355452e-08
REGION1,PWRGEOB01,2020,-1.3366856e-06
REGION1,PWRGEOB01,2022,-6.5355503e-07
REGION1,PWRGEOB01,2023,6.0646488e-07
REGION1,PWRGEOB01,2025,1.9630443e-06
REGION1,PWRGEOB01,2027,-4.5397448e-08
REGION1,PWRGEOB01,2028,4.7225016e-08
REGION1,PWRGEOB01,2031,-4.8435966e-08
REGION1,PWRGEOB01,2032,-4.9448801e-07
REGION1,PWRGEOB01,2033,5.588322e-07
REGION1,PWRGEOB01,2042,-3.9812785e-07
REGION1,PWRGEOB01,2044,-1.1722683e-06
REGION1,PWRGEOB01,2045,1.5996627e-06
REGION1,PWRGEOB02,2020,-3.1942298e-06
REGION1,PWRGEOB02,2021,1.1502062e-06
REGION1,PWRGEOB02,2022,1.8122881e-06
REGION1,PWRGEOB02,2023,7.2376714e-07
REGION1,PWRGEOB02,2024,-5.6814789e-06
REGION1,PWRGEOB02,2025,5.4746933e-06
REGION1,PWRGEOB02,2027,5.673761e-07
REGION1,PWRGEOB02,2029,-3.4368282e-07
REGION1,PWRGEOB02,2035,-2.7649144e-06
REGION1,PWRGEOB02,2038,3.1854793e-06
REGION1,PWRGEOB02,2040,1.6244591e-07
REGION1,PWRGEOB02,2041,-3.4281654e-06
REGION1,PWRGEOB02,2042,3.4773071e-06
REGION1,PWRGEOB02,2044,-1.3357411e-07
REGION1,PWRGEOB02,2049,1.3239693e-07
REGION1,PWRGEOB02,2050,-1.034062e-07
REGION1,PWRGEOB03,2020,-1.2000062e-07
REGION1,PWRGEOB03,2021,-8.9965152e-07
REGION1,PWRGEOB03,2022,-4.6955559e-08
REGION1,PWRGEOB03,2024,1.3011325e-06
REGION1,PWRGEOB03,2035,-4.1514604e-06
REGION1,PWRGEOB03,2037,4.0321731e-06
REGION1,PWRGEOB03,2041,2.8507979e-07
REGION1,PWRGEOB03,2042,-4.0214983e-06
REGION1,PWRGEOB03,2044,3.8300668e-06
REGION1,PWRURNB01,2020,-4.1561032e-08
REGION1,PWRURNB01,2022,-8.5208646e-08
REGION1,PWRURNB01,2023,1.035967e-07
REGION1,PWRURNB01,2024,-1.8998724e-08
REGION1,PWRURNB01,2027,-1.2506305e-08
REGION1,PWRURNB01,2029,9.7712467e-08
REGION1,PWRURNB01,2030,-6.7953787e-07
REGION1,PWRURNB01,2032,-1.2549437e-07
REGION1,PWRURNB01,2035,9.3974731e-07
REGION1,PWRURNB01,2036,-9.5928876e-08
REGION1,PWRURNB01,2037,1.3732598e-08
REGION1,PWRURNB01,2038,-2.2157892e-06
REGION1,PWRURNB01,2040,3.548668e-07
REGION1,PWRURNB01,2041,-5.4666841e-08
REGION1,PWRURNB01,2042,-1.8200401e-06
REGION1,PWRURNB01,2045,1.9043008e-06
REGION1,PWRURNB01,2046,-3.1066538e-06
REGION1,PWRURNB01,2048,1.6686377e-08
REGION1,PWRURNB01,2049,-3.217218e-06
REGION1,PWRURNB01,2050,-2.4776035e-07
REGION1,PWRWNDB09,2027,12.288312
REGION1,PWRWNDB09,2028,16.833356
REGION1,PWRWNDB09,2029,23.847283
REGION1,PWRWNDB09,2030,58.3531
REGION1,PWRWNDB09,2031,78.939497
REGION1,PWRWNDB09,2032,91.686379
REGION1,PWRWNDB09,2033,63.644588
REGION1,PWRWNDB09,2034,40.466147
REGION1,PWRWNDB09,2035,69.615874
REGION1,PWRWNDB09,2036,61.412163
REGION1,PWRWNDB09,2037,114.20636
REGION1,PWRWNDB09,2038,155.70195
REGION1,PWRWNDB09,2039,145.98532
REGION1,PWRWNDB09,2040,111.80688
REGION1,PWRWNDB09,2041,101.95744
REGION1,PWRWNDB09,2042,109.80626
REGION1,PWRWNDB09,2043,219.08961
REGION1,PWRWNDB09,2044,118.28836
REGION1,PWRWNDB09,2045,2510.2296
REGION1,PWRWNDB09,2046,315.42473
REGION1,PWRWNDB09,2047,318.59754
REGION1,PWRWNDB09,2048,343.18551
REGION1,PWRWNDB09,2049,173.59373
REGION1,PWRWNDB09,2050,139.6884
REGION1,PWRWNDB10,2045,-1.0651137e-06
REGION1,PWRWNDB10,2049,-6.7327444e-05
REGION1,PWRWNDB11,2033,1.7063182e-08
REGION1,PWRWNDB11,2034,-1.2191035e-08
REGION1,PWRWNDB11,2035,1.3003134e-08
REGION1,PWRWNDB11,2045,1.2018124e-08
REGION1,PWRWNDB11,2046,-4.8175966e-06
REGION1,PWRWNDB11,2048,-6.3648519e-05
REGION1,PWRBIOB06,2024,-6.3362541e-07
REGION1,PWRBIOB06,2042,1.0368809e-06
REGION1,PWRBIOB06,2046,-2.7505038e-08
REGION1,PWRHYDB13,2025,5002.281
REGION1,MINNGS,2020,3.9570515
REGION1,MINNGS,2024,0.041540675
REGION1,MINNGS,2025,0.24523996
REGION1,MINNGS,2026,0.35791717
REGION1,MINNGS,2027,0.11044275
REGION1,MINNGS,2028,0.041054599
REGION1,MINNGS,2029,0.043580615
REGION1,MINNGS,2030,0.20732975
REGION1,MINNGS,2031,0.28766386
REGION1,MINNGS,2032,0.19081656
REGION1,MINNGS,2033,0.0049448751
REGION1,MINNGS,2034,0.008275727
REGION1,MINNGS,2035,0.017864754
REGION1,MINNGS,2036,0.019178179
REGION1,MINNGS,2037,0.0086812199
REGION1,MINNGS,2038,0.011205532
REGION1,MINNGS,2039,0.013932032
REGION1,MINNGS,2040,0.014740523
REGION1,MINNGS,2041,0.29788573
REGION1,MINNGS,2042,0.078910514
REGION1,MINNGS,2043,0.078914384
REGION1,MINNGS,2044,0.078918069
REGION1,MINNGS,2045,0.07891148
REGION1,MINNGS,2046,0.078914822
REGION1,MINNGS,2047,0.078928105
REGION1,MINNGS,2048,0.078921037
REGION1,MINNGS,2049,0.078934025
REGION1,MINNGS,2050,0.078936775
REGION1,LNDALFHIBC1,2037,2.7410613
REGION1,LNDALFHIBC1,2038,5.5188154
REGION1,LNDALFHIBC1,2039,7.8379146
REGION1,LNDALFHIBC1,2040,10.205586
REGION1,LNDALFHIBC1,2041,12.850425
REGION1,LNDALFHIBC1,2042,15.064601
REGION1,LNDALFHIBC1,2043,551.22731
REGION1,LNDALFHIBC1,2044,18.602284
REGION1,LNDALFHIBC1,2045,21.096001
REGION1,LNDALFHIBC1,2046,22.222899
REGION1,LNDALFHIBC1,2047,23.90796
REGION1,LNDALFHIBC1,2048,26.306318
REGION1,LNDALFHIBC1,2049,27.878136
REGION1,LNDALFHIBC1,2050,28.48478
REGION1,LNDALFIIBC1,2037,-1.3112407e-05
REGION1,LNDALFIIBC1,2040,-0.00013630726
REGION1,LNDALFIIBC1,2042,-2.3287079e-05
REGION1,LNDALFIIBC1,2043,-4.9269905e-06
REGION1,LNDALFIIBC1,2044,-0.00011323309
REGION1,LNDALFIIBC1,2045,-5.0184398e-06
REGION1,LNDALFIIBC1,2047,-0.00021610041
REGION1,LNDALFIIBC1,2050,0.0010066779
REGION1,LNDALFHRBC1,2037,3.3236276e-06
REGION1,LNDALFHRBC1,2038,-2.5213362e-05
REGION1,LNDALFHRBC1,2041,-0.00019113996
REGION1,LNDALFHRBC1,2045,-0.00013455669
REGION1,LNDALFHRBC1,2046,-2.5250724e-05
REGION1,LNDALFHRBC1,2047,-0.00024166381
REGION1,LNDALFHRBC1,2048,-0.00021876514
REGION1,LNDALFHRBC1,2050,0.0012887585
REGION1,LNDALFIRBC1,2037,-2.2343502e-06
REGION1,LNDALFIRBC1,2041,-1.9507836e-05
REGION1,LNDALFIRBC1,2044,-7.1793399e-05
REGION1,LNDALFIRBC1,2046,-0.00013729828
REGION1,LNDALFIRBC1,2047,-0.0002625768
REGION1,LNDALFIRBC1,2048,-9.1240149e-05
REGION1,LNDALFIRBC1,2049,-3.9924853e-05
REGION1,LNDALFIRBC1,2050,0.00079349064
REGION1,LNDALFLRBC1,2037,-1.5351759e-05
REGION1,LNDALFLRBC1,2038,-4.9208697e-06
REGION1,LNDALFLRBC1,2039,-7.7035727e-05
REGION1,LNDALFLRBC1,2040,-7.4507459e-05
REGION1,LNDALFLRBC1,2041,1.2088551e-06
REGION1,LNDALFLRBC1,2042,-8.955064e-07
REGION1,LNDALFLRBC1,2044,-4.1446181e-05
REGION1,LNDALFLRBC1,2046,-6.6466663e-05
REGION1,LNDALFLRBC1,2047,-1.8469958e-06
REGION1,LNDALFLRBC1,2049,-0.00021151702
REGION1,LNDALFLRBC1,2050,-0.00016183881
REGION1,LNDBARHIBC1,2038,-0.00021537755
REGION1,LNDBARHIBC1,2040,-0.00014642997
REGION1,LNDBARHIBC1,2042,-6.6154734e-06
REGION1,LNDBARHIBC1,2044,-3.6753277e-05
REGION1,LNDBARHIBC1,2045,-3.0679739e-06
REGION1,LNDBARHIBC1,2046,-0.0002212851
REGION1,LNDBARHIBC1,2050,0.0022149383
REGION1,LNDBARIIBC1,2037,-8.3700743e-05
REGION1,LNDBARIIBC1,2038,-0.00021347836
REGION1,LNDBARIIBC1,2041,-1.3241981e-05
REGION1,LNDBARIIBC1,2042,0.00035580669
REGION1,LNDBARIIBC1,2043,-0.00020502172
REGION1,LNDBARIIBC1,2044,-3.5642232e-05
REGION1,LNDBARIIBC1,2045,-0.00019799323
REGION1,LNDBARIIBC1,2046,-0.00026474514
REGION1,LNDBARIIBC1,2047,-3.5087898e-05
REGION1,LNDBARIIBC1,2049,0.0018434423
REGION1,LNDBARIIBC1,2050,0.0005973906
REGION1,LNDBARHRBC1,2037,0.025845352
REGION1,LNDBARHRBC1,2038,0.050727636
REGION1,LNDBARHRBC1,2039,0.1107392
REGION1,LNDBARHRBC1,2040,0.096840086
REGION1,LNDBARHRBC1,2041,0.11781384
REGION1,LNDBARHRBC1,2042,0.13822308
REGION1,LNDBARHRBC1,2043,0.15927343
REGION1,LNDBARHRBC1,2044,1.1629601
REGION1,LNDBARHRBC1,2045,1.5791921
REGION1,LNDBARHRBC1,2046,1.6111542
REGION1,LNDBARHRBC1,2047,1.7315845
REGION1,LNDBARHRBC1,2048,1.8482139
REGION1,LNDBARHRBC1,2049,1.9568405
REGION1,LNDBARHRBC1,2050,2.1951589
REGION1,LNDBARIRBC1,2037,1.0544544e-07
REGION1,LNDBARIRBC1,2038,-5.4084553e-05
REGION1,LNDBARIRBC1,2040,-0.00011990436
REGION1,LNDBARIRBC1,2041,-8.7473229e-05
REGION1,LNDBARIRBC1,2044,0.00022485305
REGION1,LNDBARIRBC1,2045,-0.00019094581
REGION1,LNDBARIRBC1,2047,-0.00025764105
REGION1,LNDBARIRBC1,2048,0.00052557917
REGION1,LNDBARIRBC1,2050,0.00056487606
REGION1,LNDBARLRBC1,2037,-2.1253199e-07
REGION1,LNDBARLRBC1,2038,-2.3889825e-06
REGION1,LNDBARLRBC1,2039,4.0579874e-06
REGION1,LNDBARLRBC1,2040,3.3987851e-07
REGION1,LNDBARLRBC1,2041,-1.8857066e-06
REGION1,LNDBARLRBC1,2042,-9.4629486e-07
REGION1,LNDBARLRBC1,2043,-1.7914104e-06
REGION1,LNDBARLRBC1,2044,6.6699169e-06
REGION1,LNDBARLRBC1,2045,-4.6697108e-06
REGION1,LNDBARLRBC1,2046,6.0931894e-07
REGION1,LNDBARLRBC1,2047,4.7897851e-06
