REGION,TECHNOLOGY,VALUE
REGION1,DEMINDDSL,3489.091
REGION1,DEMINDBIO,4734.931
REGION1,DEMINDNGS,10130.34
REGION1,DEMINDELCB02,3317.883
REGION1,DEMRESKER,18.31
REGION1,DEMRESBIO,477.455
REGION1,DEMRESNGS,2966.527
REGION1,DEMRESELCB02,2804.126
REGION1,DEMCOMKER,408.779
REGION1,DEMCOMBIO,22.496
REGION1,DEMCOMNGS,2986.405
REGION1,DEMCOMELCB02,2093.008
REGION1,DEMAGRDSL,764.606
REGION1,DEMAGRNGS,-2.4412056e-08
REGION1,DEMAGRELCB02,-1.6606202e-07
REGION1,DEMTRAGSL,3493.473
REGION1,DEMTRADSL,2727.176
REGION1,DEMTRAHFO,263.531
REGION1,DEMTRAJFL,1331.151
REGION1,DEMTRABIO,611.057
REGION1,DEMTRANGS,298.679
REGION1,DEMTRALPG,85.44
REGION1,DEMTRAELCB02,575.649
REGION1,DEMPWRNGS,-6.2275821e-08
REGION1,PWRNGSB01,-2.0029993e-08
REGION1,DEMPWRSURBC1,0.13023155
REGION1,DEMPWRWND,10891.672
REGION1,PWRWNDB01,22.268268
REGION1,PWRWNDB02,10.409718
REGION1,PWRWNDB03,30.421386
REGION1,PWRWNDB04,44.733438
REGION1,PWRWNDB05,6.7088068
REGION1,PWRWNDB06,21.377682
REGION1,PWRWNDB07,5.4531294
REGION1,PWRWNDB08,5.9709001
REGION1,DEMPWRBIO,12.754637
REGION1,PWRBIOB01,0.23652
REGION1,PWRBIOB02,1.6273859
REGION1,PWRBIOB03,0.4541184
REGION1,PWRBIOB04,0.63080553
REGION1,PWRBIOB05,1.5264814
REGION1,DEMPWRSOL,0.32931868
REGION1,PWRSOLB01,0.11555041
REGION1,DEMPWRHYD,7803.765
REGION1,PWRHYDB01,1453.2115
REGION1,PWRHYDB02,373.97331
REGION1,PWRHYDB03,123.01244
REGION1,PWRHYDB04,362.35924
REGION1,PWRHYDB05,23.228156
REGION1,PWRHYDB06,825.08346
REGION1,PWRHYDB07,18.195389
REGION1,PWRHYDB08,284.54491
REGION1,PWRHYDB09,1027.8459
REGION1,PWRHYDB10,936.09469
REGION1,PWRHYDB11,391.97514
REGION1,PWRHYDB12,394.87865
REGION1,DEMPWRGEO,1.6570126e-08
REGION1,PWRGEOB01,1.4292809e-07
REGION1,PWRGEOB02,-9.7973523e-08
REGION1,PWRGEOB03,-7.8575685e-08
REGION1,DEMPWRURN,-1.7288175e-07
REGION1,PWRURNB01,-5.4780946e-08
REGION1,PWRWNDB09,3123.4291
REGION1,PWRWNDB10,9.0470171e-07
REGION1,PWRWNDB11,6.8879952e-07
REGION1,PWRBIOB06,-1.0580467e-08
REGION1,PWRHYDB13,267.87309
REGION1,IMPJFL,1331.151
REGION1,IMPLPG,85.44
REGION1,IMPGSL,3493.473
REGION1,IMPKER,427.089
REGION1,IMPDSL,6980.873
REGION1,IMPHFO,263.531
REGION1,MINNGS,16381.951
REGION1,MINURN,-1.7294202e-07
REGION1,RNWWND,10891.672
REGION1,RNWHYD,7803.765
REGION1,RNWBIO,5858.6936
REGION1,RNWSOL,0.32931868
REGION1,RNWGEO,1.6018775e-08
REGION1,EXPNGS,-1.0953723e-08
REGION1,EXPBIO,-2.7898152e-08
REGION1,DEMAGRGWTBC1,-5.3635511e-06
REGION1,DEMAGRSURBC1,47.428393
REGION1,DEMPUBSURBC1,31.02
REGION1,MINPRCBC1,20906.736
REGION1,MINLNDBC1,28675.0
REGION1,LNDALFHIBC1,262.07816
REGION1,LNDALFIIBC1,1.0294748
REGION1,LNDALFHRBC1,20.405071
REGION1,LNDALFIRBC1,5.1009439
REGION1,LNDALFLRBC1,173.2457
REGION1,LNDBARHIBC1,0.0033747277
REGION1,LNDBARIIBC1,0.00049775911
REGION1,LNDBARHRBC1,3.5121521
REGION1,LNDBARIRBC1,0.082644471
REGION1,LNDBARLRBC1,-3.9467899e-06
REGION1,LNDMAIHIBC1,281.05113
REGION1,LNDMAIIIBC1,0.0021933772
REGION1,LNDMAIHRBC1,0.98580461
REGION1,LNDMAIIRBC1,0.24296449
REGION1,LNDMAILRBC1,0.0004650485
REGION1,LNDOATHIBC1,4.333187
