REGION,TECHNOLOGY,VALUE
REGION1,PWRBIOB01,31.536
REGION1,PWRBIOB02,31.536
REGION1,PWRBIOB03,31.536
REGION1,PWRBIOB04,31.536
REGION1,PWRBIOB05,31.536
REGION1,PWRBIOB06,31.536
REGION1,PWRGEOB01,31.536
REGION1,PWRGEOB02,31.536
REGION1,PWRGEOB03,31.536
REGION1,PWRHYDB01,31.536
REGION1,PWRHYDB02,31.536
REGION1,PWRHYDB03,31.536
REGION1,PWRHYDB04,31.536
REGION1,PWRHYDB05,31.536
REGION1,PWRHYDB06,31.536
REGION1,PWRHYDB07,31.536
REGION1,PWRHYDB08,31.536
REGION1,PWRHYDB09,31.536
REGION1,PWRHYDB10,31.536
REGION1,PWRHYDB11,31.536
REGION1,PWRHYDB12,31.536
REGION1,PWRHYDB13,31.536
REGION1,PWRNGSB01,31.536
REGION1,PWRSOLB01,31.536
REGION1,PWRTRNB01,31.536
REGION1,PWRURNB01,31.536
REGION1,PWRWNDB01,31.536
REGION1,PWRWNDB02,31.536
REGION1,PWRWNDB03,31.536
REGION1,PWRWNDB04,31.536
REGION1,PWRWNDB05,31.536
REGION1,PWRWNDB06,31.536
REGION1,PWRWNDB07,31.536
REGION1,PWRWNDB08,31.536
REGION1,PWRWNDB09,31.536
REGION1,PWRWNDB10,31.536
REGION1,PWRWNDB11,31.536
