REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2020,45
REGION1,CO2,2021,45
REGION1,CO2,2022,50
REGION1,CO2,2023,65
REGION1,CO2,2024,80
REGION1,CO2,2025,95
REGION1,CO2,2026,110
REGION1,CO2,2027,125
REGION1,CO2,2028,140
REGION1,CO2,2029,155
REGION1,CO2,2030,170
REGION1,CO2,2031,170
REGION1,CO2,2032,170
REGION1,CO2,2033,170
REGION1,CO2,2034,170
REGION1,CO2,2035,170
REGION1,CO2,2036,170
REGION1,CO2,2037,170
REGION1,CO2,2038,170
REGION1,CO2,2039,170
REGION1,CO2,2040,170
REGION1,CO2,2041,170
REGION1,CO2,2042,170
REGION1,CO2,2043,170
REGION1,CO2,2044,170
REGION1,CO2,2045,170
REGION1,CO2,2046,170
REGION1,CO2,2047,170
REGION1,CO2,2048,170
REGION1,CO2,2049,170
REGION1,CO2,2050,170
